SL NO,Plot No,MF,Name,FF,Name,Remarks,,Border rows flowered : 7/17  and 7/19,,
233,1233,23-Jul,c,27-Jul,c,,,,,
234,1234,27-Jul,c,3-Aug,c,top leaves & Tassels are dried(Burnt) due to high temp,,,,
235,1235,27-Jul,c,2-Aug,c,top leaves & Tassels are dried(Burnt) due to high temp,,,,
236,1236,27-Jul,c,3-Aug,c,,,,,
237,1237,28-Jul,c,30-Jul,c,,,,,
238,1238,27-Jul,c,3-Aug,c,,,,,
239,1239,20-Jul,c,30-Jul,c,,,,,
240,1240,29-Jul,c,1-Aug,c,,,,,
241,1241,23-Jul,c,27-Jul,c,,,,,
242,1242,29-Jul,c,31-Jul,c,,,,,
243,1243,6-Aug,c,9-Aug,c,,,,,
244,1244,16-Jul,c,19-Jul,c,,,,,
245,1245,23-Jul,c,27-Jul,c,,,,,
246,1246,3-Aug,c,4-Aug,c,Silking is getting damged due to insect infestation,,,,
247,1247,23-Jul,c,30-Jul,c,,,,,
248,1248,18-Jul,c,22-Jul,c,,,,,
249,1249,23-Jul,c,28-Jul,c,,,,,
250,1250,27-Jul,c,3-Aug,c,top leaves & Tassels are dried(Burnt) due to high temp,,,,
251,1251,29-Jul,c,19-Aug,c,top leaves & Tassels are dried(Burnt) due to high temp: cobs are at just emerging stage,,,,
252,1252,21-Jul,c,27-Jul,c,,,,,
253,1253,7-Aug,c,9-Aug,c,,,,,
254,1254,16-Jul,c,18-Jul,c,,,,,
255,1255,16-Jul,c,30-Jul,c,top leaves & Tassels are dried(Burnt) due to high temp,,,,
256,1256,3-Aug,c,9-Aug,c,,,,,
257,1257,2-Aug,c,20-Aug,c,,,,,
258,1258,6-Aug,c,20-Aug,c,,,,,
259,1259,28-Jul,c,1-Aug,c,,,,,
260,1260,6-Aug,c,23-Aug,c,top leaves dried(Burnt) due to high temp and tiny cobs,,,,
261,1261,3-Aug,c,9-Aug,c,top leaves dried(Burnt) due to high temp and tiny cobs,,,,
262,1262,26-Jul,c,30-Jul,c,,,,,
263,1263,12-Jul,c,13-Jul,c,,,,,
264,1264,26-Jul,c,2-Aug,c,,,,,
265,1265,28-Jul,c,3-Aug,c,,,,,
266,1266,23-Aug,c,,,"only two plant formed the tassel and no cobs, top leaves dried(Burnt) due to high temp",,,,
267,1267,5-Aug,c,20-Aug,c,top leaves dried(Burnt) due to high temp and tiny cobs,,,,
268,1268,30-Jul,c,20-Aug,c,Compact tassel and tiny cobs,,,,
269,1269,1-Sep,c,na ,c,,,,,
270,1270,23-Jul,c,26-Jul,c,,,,,
271,1271,4-Aug,c,9-Aug,c,,,,,
272,1272,27-Jul,c,4-Aug,c,,,,,
273,1273,6-Aug,c,9-Aug,c,,,,,
274,1274,23-Jul,c,31-Jul,c,,,,,
275,1275,14-Jul,c,16-Jul,c,,,,,
276,1276,24-Jul,c,30-Jul,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
277,1277,27-Jul,c,3-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
278,1278,5-Aug,c,20-Aug,c,,,,,
279,1279,27-Jul,c,30-Jul,c,Tassel& top leaves dried(Burnt) due to high temp ,,,,
280,1280,15-Jul,c,25-Aug,c,only three cobs,,,,
281,1281,27-Jul,c,29-Jul,c,,,,,
282,1282,20-Jul,c,23-Jul,c,,,,,
283,1283,22-Jul,c,29-Jul,c,,,,,
284,1284,30-Jul,c,5-Aug,c,,,,,
285,1285,16-Jul,c,23-Jul,c,Tassel conssit of silky stuctures,,,,
286,1286,27-Jul,c,29-Jul,c,,,,,
287,1287,19-Jul,c,26-Jul,c,,,,,
288,1288,27-Jul,c,30-Jul,c,,,,,
289,1289,23-Jul,c,29-Jul,c,,,,,
290,1290,27-Jul,c,3-Aug,c,,,,,
291,1291,26-Jul,c,2-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
292,1292,7-Aug,c,12-Aug,c,,,,,
293,1293,27-Jul,c,30-Jul,c,,,,,
294,1294,9-Aug,c,20-Aug,c,,,,,
295,1295,27-Jul,c,30-Jul,c,,,,,
296,1296,6-Aug,c,9-Aug,c,,,,,
297,1297,28-Jul,c,6-Aug,c,Tassel dried(Burnt) due to high temp ,,,,
298,1298,26-Jul,c,28-Jul,c,,,,,
299,1299,9-Aug,c,12-Aug,c,,,,,
300,1300,21-Aug,c,25-Aug,c,,,,,
301,1301,29-Jul,c,4-Aug,c,,,,,
302,1302,3-Sep,c,na,c,Very robust in growth among all the inbreds,,,,
303,1303,18-Jul,c,21-Jul,c,,,,,
304,1304,26-Jul,c,30-Jul,c,,,,,
305,1305,6-Aug,c,14-Aug,c,,,,,
306,1306,23-Jul,c,28-Jul,c,c,,,,
307,1307,22-Jul,c,28-Jul,c,,,,,
308,1308,21-Jul,c,30-Jul,c,,,,,
309,1309,11-Aug,c,na,,,,,,
310,1310,18-Jul,c,20-Jul,c,,,,,
311,1311,15-Jul,c,17-Jul,c,,,,,
312,1312,30-Jul,c,21-Aug,c,,,,,
313,1313,5-Aug,c,8-Aug,c,,,,,
314,1314,10-Aug,c,23-Aug,c,Yellow lesions on leaves,,,,
315,1315,26-Jul,c,30-Jul,c,,,,,
316,1316,25-Jul,c,28-Jul,c,,,,,
317,1317,4-Aug,c,14-Aug,c,,,,,
318,1318,27-Jul,c,4-Aug,c,,,,,
319,1319,25-Jul,c,29-Jul,c,,,,,
320,1320,26-Jul,c,3-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
321,1321,2-Aug,c,3-Aug,w,,,,,
322,1322,28-Jul,c,4-Aug,c,,,,,
323,1323,27-Jul,c,4-Aug,c,,,,,
324,1324,27-Jul,c,2-Aug,c,,,,,
325,1325,25-Jul,c,2-Aug,c,,,,,
326,1326,18-Jul,c,24-Jul,c,,,,,
327,1327,20-Jul,c,4-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
328,1328,20-Jul,c,25-Jul,c,,,,,
329,1329,21-Jul,c,23-Jul,c,,,,,
330,1330,9-Aug,w,13-Aug,w,,,,,
331,1331,11-Aug,w,1-Sep,c,Most of the cobs are affected by with smut,,,,
332,1332,28-Jul,c,30-Jul,c,,,,,
333,1333,28-Jul,c,5-Aug,c,,,,,
334,1334,23-Jul,c,27-Jul,c,,,,,
335,1335,19-Jul,c,23-Jul,c,,,,,
336,1336,8-Aug,c,25-Aug,c,,,,,
337,1337,15-Jul,c,17-Jul,c,,,,,
338,1338,18-Jul,c,22-Jul,c,,,,,
339,1339,21-Jul,c,3-Aug,c,,,,,
340,1340,16-Jul,c,22-Jul,c,,,,,
341,1341,18-Jul,c,22-Jul,c,,,,,
342,1342,19-Jul,c,23-Jul,c,,,,,
343,1343,28-Jul,c,2-Aug,c,,,,,
344,1344,27-Jul,c,1-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
345,1345,25-Jul,c,30-Jul,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
346,1346,25-Jul,c,1-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
347,1347,21-Jul,c,28-Jul,c,,,,,
348,1348,23-Jul,c,28-Jul,c,,,,,
349,1349,16-Jul,c,20-Jul,c,,,,,
350,1350,29-Jul,c,20-Aug,c,Cobs are drying before silking_ due to high temp,,,,
351,1351,8-Jul,c,15-Jul,c,,,,,
352,1352,28-Jul,c,5-Aug,c,,,,,
353,1353,26-Jul,c,1-Aug,c,,,,,
354,1354,14-Jul,c,16-Jul,c,,,,,
355,1355,23-Jul,c,27-Jul,c,,,,,
356,1356,19-Jul,c,22-Jul,c,,,,,
357,1357,22-Jul,c,27-Jul,c,,,,,
358,1358,23-Jul,c,25-Jul,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
359,1359,18-Jul,c,22-Jul,c,Tassels bent; may be due to anthers load on it,,,,
360,1360,14-Jul,c,12-Jul,c,,,,,
361,1361,14-Jul,c,18-Jul,c,,,,,
362,1362,16-Jul,c,18-Jul,c,"Purple pigmentation on stem and cobs, whole crop dried(burnt) due to high temp",,,,
363,1363,28-Jul,c,30-Jul,c,,,,,
364,1364,23-Jul,c,28-Jul,c,,,,,
365,1365,12-Jul,c,16-Jul,c,Tassels bent; may be due to anthers load on it,,,,
366,1366,23-Jul,c,28-Jul,c,,,,,
367,1367,26-Jul,c,29-Jul,c,,,,,
368,1368,11-Jul,c,15-Jul,c,,,,,
369,1369,26-Jul,c,30-Jul,c,,,,,
370,1370,6-Aug,c,13-Aug,c,,,,,
371,1371,20-Jul,c,26-Jul,c,,,,,
372,1372,16-Jul,c,16-Jul,c,,,,,
373,1373,26-Jul,c,29-Jul,c,,,,,
374,1374,28-Jul,c,3-Aug,c,,,,,
375,1375,12-Jul,c,17-Jul,c,,,,,
376,1376,19-Jul,c,22-Jul,c,,,,,
377,1377,1-Aug,c,6-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
378,1378,23-Jul,c,29-Jul,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
379,1379,6-Aug,c,6-Aug,c,,,,,
380,1380,11-Jul,c,17-Jul,c,,,,,
381,1381,20-Jul,c,23-Jul,c,,,,,
382,1382,21-Jul,c,6-Aug,c,,,,,
383,1383,21-Jul,c,29-Jul,c,,,,,
384,1384,10-Jul,jt,12-Jul,c,,,,,
385,1385,6-Aug,c,9-Aug,c,,,,,
386,1386,14-Jul,c,14-Jul,c,,,,,
387,1387,16-Aug,c,9-Aug,c,,,,,
388,1388,15-Jul,c,17-Jul,c,,,,,
389,1389,25-Jul,c,26-Jul,c,,,,,
390,1390,21-Jul,c,26-Jul,c,,,,,
391,1391,25-Jul,c,1-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
392,1392,25-Jul,c,2-Aug,c,Tassel & top leaves dried(Burnt) due to high temp ,,,,
393,1393,1-Aug,c,2-Aug,c,,,,,
394,1394,16-Jul,c,20-Jul,c,,,,,
395,1395,17-Jul,c,19-Jul,c,,,,,
396,1396,28-Jul,c,5-Aug,c,,,,,
397,1397,20-Jul,c,22-Jul,c,,,,,
398,1398,20-Jul,c,22-Jul,c,,,,,
399,1399,20-Jul,c,22-Jul,c,,,,,
400,1400,26-Jul,c,25-Jul,c,,,,,
401,2001,23-Jul,c,27-Jul,c,,,,,
402,2002,18-Jul,c,22-Jul,c,whole population tessale and silking time is uniform,,,,
403,2003,21-Jul,c,28-Jul,c,,,,,
404,2004,15-Jul,c,16-Jul,c,Anthers looks bigger size,,,,
405,2005,1-Aug,c,2-Aug,c,,,,,
406,2006,22-Jul,c,29-Jul,c,,,,,
407,2007,17-Jul,c,21-Jul,c,,,,,
408,2008,27-Jul,c,29-Jul,c,,,,,
409,2009,28-Jul,c,29-Jul,c,,,,,
410,2010,28-Jul,c,5-Aug,c,,,,,
411,2011,14-Jul,c,12-Jul,c,,,,,
412,2012,27-Jul,c,29-Jul,c,,,,,
413,2013,22-Jul,c,24-Jul,c,,,,,
414,2014,22-Jul,c,27-Jul,c,,,,,
415,2015,14-Jul,c,17-Jul,c,,,,,
416,2016,17-Jul,c,21-Jul,c,,,,,
417,2017,20-Jul,c,23-Jul,c,,,,,
418,2018,21-Jul,c,23-Jul,c,,,,,
419,2019,29-Jul,c,8-Aug,w,,,,,
420,2020,27-Jul,c,29-Jul,c,,,,,
421,2021,23-Jul,c,27-Jul,c,,,,,
422,2022,2-Aug,c,8-Aug,c,,,,,
423,2023,27-Jul,c,12-Aug,w,Yellow lesions on leaves,,,,
424,2024,14-Jul,c,79,c,,,,,
425,2025,18-Jul,c,22-Jul,c,Tassels bent; big/ heavier anther on it,,,,
426,2026,23-Jul,c,28-Jul,c,,,,,
427,2027,12-Jul,c,12-Jul,c,,,,,
428,2028,27-Jul,c,29-Jul,c,,,,,
429,2029,14-Jul,c,16-Jul,c,,,,,
430,2030,18-Jul,c,22-Jul,c,,,,,
431,2031,16-Jul,c,18-Jul,c,,,,,
432,2032,26-Jul,c,28-Jul,c,,,,,
433,2033,23-Jul,c,26-Jul,c,,,,,
434,2034,16-Jul,c,18-Jul,c,,,,,
435,2035,10-Aug,c,28-Aug,c,empty tassel and cobs,,,,
436,2036,16-Jul,c,17-Jul,c,,,,,
437,2037,21-Jul,c,31-Jul,w,,,,,
438,2038,20-Jul,c,22-Jul,c,,,,,
439,2039,27-Jul,c,1-Aug,w,,,,,
440,2040,28-Jul,c,1-Aug,w,,,,,
441,2041,20-Jul,c,23-Jul,c,,,,,
442,2042,24-Jul,Cc,26-Jul,c,,,,,
443,2043,12-Jul,c,16-Jul,c,"Auxilerry banches? , or tillers, 3-4 cobs per plant",,,,
444,2044,16-Jul,c,18-Jul,c,Purple pigmentation on stem and cobs,,,,
445,2045,16-Jul,c,18-Jul,c,Pink silk,,,,
446,2046,26-Jul,c,3-Aug,w,,,,,
447,2047,28-Jul,c,2-Aug,w,,,,,
448,2048,27-Jul,c,1-Aug,w,,,,,
449,2049,26-Jul,c,29-Jul,c,,,,,
450,2050,9-Jul,c,11-Jul,c,,,,,
451,2051,27-Jul,c,29-Jul,c,,,,,
452,2052,26-Jul,c,2-Aug,c,,,,,
453,2053,27-Jul,c,30-Jul,c,,,,,
454,2054,26-Jul,c,29-Jul,c,,,,,
455,2055,23-Jul,c,27-Jul,c,,,,,
456,2056,21-Jul,c,23-Jul,c,,,,,
457,2057,24-Jul,c,26-Jul,c,,,,,
458,2058,14-Jul,c,16-Jul,c,,,,,
459,2059,18-Jul,c,22-Jul,c,,,,,
460,2060,29-Jul,c,8-Aug,w,,,,,
461,2061,23-Jul,c,26-Jul,c,,,,,
462,2062,20-Aug,c,23-Aug,w,,,,,
463,2063,8-Aug,c,13-Aug,w,,,,,
464,2064,3-Jul,c,Na,w,,,,,
465,2065,23-Jul,c,28-Jul,c,,,,,
466,2066,30-Jul,c,30-Jul,c,,,,,
467,2067,7-Aug,c,22-Aug,c,,,,,
468,2068,28-Jul,c,2-Aug,w,,,,,
469,2069,27-Jul,c,28-Jul,c,,,,,
470,2070,22-Jul,c,27-Jul,c,,,,,
471,2071,7-Aug,w,2-Aug,w,,,,,
472,2072,gap,c,gap,c,,,,,
473,2073,8-Aug,c,3-Aug,c,,,,,
474,2074,19-Aug,c,20-Aug,c,,,,,
475,2075,30-Jul,c,3-Aug,w,,,,,
476,2076,4-Aug,w,8-Aug,w,,,,,
477,2077,12-Aug,w,16-Aug,w,,,,,
478,2078,30-Jul,c,8-Aug,w,,,,,
479,2079,1-Sep,c,NA,c,,,,,
480,2080,1-Sep,c,NA,c,,,,,
481,2081,4-Aug,w,8-Aug,w,,,,,
482,2082,3-Aug,w,5-Aug,w,"Tassels are damged due to high te,mp",,,,
483,2083,30-Jul,c,5-Aug,w,,,,,
484,2084, 7/20,c,23-Jul,c,,,,,
485,2085,16-Jul,c,16-Jul,c,,,,,
486,2086,1-Aug,w,3-Aug,w,,,,,
487,2087,27-Jul,c,30-Jul,c,,,,,
488,2088,9-Aug,w,12-Aug,w,,,,,
