Sample ID,Date,Time,,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4132Row8$Range7$@Hoegemeyer 7089 AMXT,12/12/2023,3:14 PM,,6.22,8.82,3.33,0.98,1.07,65.73
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4132Row8$Range7$@Hoegemeyer 7089 AMXT,12/12/2023,3:14 PM,,6.31,9.24,3.93,0.77,1.03,66.18
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4087Row13$Range5$@2369 x PHN82,12/12/2023,3:17 PM,,6.45,9.32,2.7,1.23,1.03,65.41
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4087Row13$Range5$@2369 x PHN82,12/12/2023,3:18 PM,,6.66,9.53,3.44,1.19,1.02,64.81
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4087Row13$Range5$@2369 x PHN82,12/12/2023,3:18 PM,,6.13,9.37,3.25,1.1,1.08,64.92
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4183Row9$Range9$@PHJ40 x LH82,12/12/2023,3:19 PM,,6.84,9.73,4.34,0.6,1.05,65.11
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4183Row9$Range9$@PHJ40 x LH82,12/12/2023,3:19 PM,,6.71,9.54,3.93,0.94,1.09,65.3
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4183Row9$Range9$@PHJ40 x LH82,12/12/2023,3:20 PM,,6.82,9.82,3.61,1.24,1.2,61.87
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4011Row12$Range2$@Syngenta NK0760-3111,12/12/2023,3:21 PM,,6.61,8.05,3.3,2.18,1.43,66.05
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4011Row12$Range2$@Syngenta NK0760-3111,12/12/2023,3:21 PM,,6.2,8.21,3.41,1.95,1.33,66.02
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4011Row12$Range2$@Syngenta NK0760-3111,12/12/2023,3:22 PM,,6.63,8.29,3.29,2.02,1.38,66.24
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5223Row24$Range21$@Syngenta NK0659-3120-EZ1,12/12/2023,3:23 PM,,6.42,10.29,3.56,1.61,1.26,65.09
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5223Row24$Range21$@Syngenta NK0659-3120-EZ1,12/12/2023,3:23 PM,,6.6,9.38,3.3,1.23,1.14,62.76
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5223Row24$Range21$@Syngenta NK0659-3120-EZ1,12/12/2023,3:23 PM,,6.46,9.72,3.12,1.41,1.18,65.11
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4083Row9$Range5$@B73 x Mo17,12/12/2023,3:30 PM,,7.03,10.56,3.08,2.37,1.49,66.18
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4083Row9$Range5$@B73 x Mo17,12/12/2023,3:30 PM,,6.77,9.9,3.48,2.08,1.34,65.31
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4083Row9$Range5$@B73 x Mo17,12/12/2023,3:30 PM,,6.49,10.25,3.58,1.91,1.31,65.5
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4208Row9$Range10$@LH195 x LH123HT,12/12/2023,3:37 PM,,6.69,9.61,4.48,1.15,1.13,65.17
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4208Row9$Range10$@LH195 x LH123HT,12/12/2023,3:38 PM,,6.92,9.67,4,1.22,1.05,64.82
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4208Row9$Range10$@LH195 x LH123HT,12/12/2023,3:38 PM,,6.97,10.04,4.07,1.19,1.1,65.4
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4082Row8$Range5$@PHB47 x PHJ89,12/12/2023,3:39 PM,,6.26,9.81,3.91,0.84,1.09,64.41
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4082Row8$Range5$@PHB47 x PHJ89,12/12/2023,3:39 PM,,6.3,9.74,3.46,0.85,1.04,65.04
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4082Row8$Range5$@PHB47 x PHJ89,12/12/2023,3:40 PM,,6.34,10.22,3.43,1.16,1.11,64.23
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5224Row25$Range21$@4N506 x 3IIH6,12/12/2023,3:48 PM,,6.46,9.35,3.88,1.41,1.34,64.41
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5224Row25$Range21$@4N506 x 3IIH6,12/12/2023,3:48 PM,,6.39,9.55,3.4,1.85,1.29,66.25
