Sample ID,Date,Time,,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5045Row21$Range14$@PHK76 x 3IIH6,3/20/2024,10:03 AM,,5,8.18,4.26,0.85,1.17,63.5
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5045Row21$Range14$@PHK76 x 3IIH6,3/20/2024,10:04 AM,,5.03,8.21,3.92,0.84,1.12,64.48
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4161Row12$Range8$@B105 x 3IIH6,3/20/2024,10:05 AM,,6.72,9.5,3.83,1.24,1.29,64.64
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4161Row12$Range8$@B105 x 3IIH6,3/20/2024,10:06 AM,,6.73,9.94,3.9,1.44,1.31,65.45
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4161Row12$Range8$@B105 x 3IIH6,3/20/2024,10:07 AM,,6.79,9.61,3.64,1.41,1.33,66.33
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6076Row2$Range27$@PHW52 x LH185,3/20/2024,10:08 AM,,5.84,8.94,3.35,1.15,1.01,63.64
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6076Row2$Range27$@PHW52 x LH185,3/20/2024,10:08 AM,,5.73,9.3,3.83,1.05,1.01,64.88
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6076Row2$Range27$@PHW52 x LH185,3/20/2024,10:09 AM,,5.59,9.03,3.28,1.17,0.96,64.34
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4171Row22$Range8$@PHT69 x 3IIH6,3/20/2024,10:10 AM,,6.54,9.13,3.82,1.68,1.44,63.72
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4171Row22$Range8$@PHT69 x 3IIH6,3/20/2024,10:11 AM,,6.24,9.67,4.03,1.42,1.4,66.06
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4171Row22$Range8$@PHT69 x 3IIH6,3/20/2024,10:11 AM,,6.34,9.69,3.74,1.43,1.37,66.87
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6050Row26$Range25$@Pioneer P0589 AMXT,3/20/2024,10:13 AM,,5.59,8.46,3.7,1.31,1.25,63.5
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6050Row26$Range25$@Pioneer P0589 AMXT,3/20/2024,10:13 AM,,5.85,8.48,3.25,1.68,1.27,67.33
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6050Row26$Range25$@Pioneer P0589 AMXT,3/20/2024,10:14 AM,,5.65,8.37,3.37,1.55,1.25,64.85
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6075Row26$Range26$@Hoegemeyer 7089 AMXT,3/20/2024,10:15 AM,,5.82,8.89,3.92,1.12,1.05,64.61
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6075Row26$Range26$@Hoegemeyer 7089 AMXT,3/20/2024,10:16 AM,,6.08,9.22,4.23,0.88,1.07,65.72
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6075Row26$Range26$@Hoegemeyer 7089 AMXT,3/20/2024,10:16 AM,,6.22,9.1,3.97,0.94,1.03,66.12
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5085Row11$Range16$@LH198 x PHZ51,3/20/2024,10:17 AM,,5.84,9.22,3.52,1.21,1.08,64.05
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5085Row11$Range16$@LH198 x PHZ51,3/20/2024,10:18 AM,,6.1,9.48,4.46,0.79,1.04,66.08
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5085Row11$Range16$@LH198 x PHZ51,3/20/2024,10:18 AM,,6.14,9.75,4.39,1.03,1.02,65.83
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5200Row26$Range20$@PHK56 x LH82,3/20/2024,10:20 AM,,5.77,7.58,3.6,0.86,1.03,63.96
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5200Row26$Range20$@PHK56 x LH82,3/20/2024,10:20 AM,,5.78,8.5,3.97,0.7,1.04,63.51
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5200Row26$Range20$@PHK56 x LH82,3/20/2024,10:21 AM,,6.09,9.03,4.04,0.55,0.99,65.88
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6201Row2$Range32$@PHB47 x PHJ89,3/20/2024,10:22 AM,,5.93,11.91,4.41,0.86,1.01,64.12
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6201Row2$Range32$@PHB47 x PHJ89,3/20/2024,10:22 AM,,5.81,11.91,4.34,0.97,0.98,64.1
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6201Row2$Range32$@PHB47 x PHJ89,3/20/2024,10:23 AM,,5.86,11.61,4.25,0.94,0.97,64.4
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4170Row21$Range8$@PHB47 x PHJ89,3/20/2024,10:24 AM,,6.68,11.56,3.73,0.85,1.11,63.98
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4170Row21$Range8$@PHB47 x PHJ89,3/20/2024,10:24 AM,,6.74,10.78,3.26,0.84,1.07,64.25
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4170Row21$Range8$@PHB47 x PHJ89,3/20/2024,10:25 AM,,6.8,11.15,3.61,0.98,1.13,63.73
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6040Row16$Range25$@PHK76 x LH198,3/20/2024,10:26 AM,,5.82,9.5,3.02,1.01,0.99,65.8
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6040Row16$Range25$@PHK76 x LH198,3/20/2024,10:26 AM,,5.98,9.67,3.49,0.9,1.07,64.97
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6040Row16$Range25$@PHK76 x LH198,3/20/2024,10:27 AM,,6.36,9.75,3.78,0.89,0.98,65.57
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5037Row13$Range14$@LH82 x PHB47,3/20/2024,10:28 AM,,6.16,11.03,4.66,0.79,1.04,63.92
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5037Row13$Range14$@LH82 x PHB47,3/20/2024,10:28 AM,,5.98,11.18,4.32,0.72,1.05,64.48
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5037Row13$Range14$@LH82 x PHB47,3/20/2024,10:29 AM,,6.17,11.27,4.12,0.73,1.01,64.22
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5106Row7$Range17$@B73 x Mo17,3/20/2024,10:30 AM,,6.15,8.9,3.67,1.52,1.27,66.83
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5106Row7$Range17$@B73 x Mo17,3/20/2024,10:33 AM,,6.24,9.33,3.64,1.62,1.28,67.28
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5106Row7$Range17$@B73 x Mo17,3/20/2024,10:34 AM,,6.35,9.25,3.92,1.23,1.21,65.91
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4091Row17$Range5$@PHK56 x LH185,3/20/2024,10:37 AM,,5.33,9.34,3.66,1.2,0.99,63.1
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4091Row17$Range5$@PHK56 x LH185,3/20/2024,10:37 AM,,5.2,9.79,4.21,0.99,0.98,63.16
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4091Row17$Range5$@PHK56 x LH185,3/20/2024,10:38 AM,,5.45,9.35,3.72,1.48,1.03,63.05
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4022Row23$Range2$@PHK56 x PHJ89,3/20/2024,10:38 AM,,6.14,9.19,4.22,1.14,1.05,61.88
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4022Row23$Range2$@PHK56 x PHJ89,3/20/2024,10:39 AM,,6.45,8.46,3.68,1.43,1.04,62.02
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4022Row23$Range2$@PHK56 x PHJ89,3/20/2024,10:39 AM,,6.3,8.94,3.86,1.3,1.04,62.03
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5187Row13$Range20$@PHP02 x W606S,3/20/2024,10:41 AM,,6,8.47,3.81,0.86,1.03,63.58
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5187Row13$Range20$@PHP02 x W606S,3/20/2024,10:41 AM,,6,8.38,3.52,0.85,0.97,64.21
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5187Row13$Range20$@PHP02 x W606S,3/20/2024,10:42 AM,,5.95,8.58,3.67,0.89,1.01,63.9
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6074Row25$Range26$@PHP02 x PHN46,3/20/2024,10:43 AM,,5.7,9.05,4.14,0.19,0.93,66.19
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6074Row25$Range26$@PHP02 x PHN46,3/20/2024,10:43 AM,,5.98,9.07,4.16,0.31,0.94,66.08
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6074Row25$Range26$@PHP02 x PHN46,3/20/2024,10:44 AM,,6.16,8.79,3.83,0.36,0.93,66.51
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5104Row5$Range17$@LH195 x LH123HT,3/20/2024,10:45 AM,,6.44,9.4,4.02,1.09,1.06,65.73
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5104Row5$Range17$@LH195 x LH123HT,3/20/2024,10:46 AM,,6.46,9.99,4.44,0.84,1.05,64.68
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5104Row5$Range17$@LH195 x LH123HT,3/20/2024,10:46 AM,,6.29,9.93,4,0.88,1.01,64.24
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5131Row7$Range18$@LH195 x PHM49,3/20/2024,10:55 AM,,5.96,9.59,3.38,1.2,1.1,62.87
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5131Row7$Range18$@LH195 x PHM49,3/20/2024,10:56 AM,,5.98,9.66,3.4,0.9,1.07,64.26
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5131Row7$Range18$@LH195 x PHM49,3/20/2024,10:56 AM,,6.08,9.65,3.49,1.09,1.1,63.4
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5159Row10$Range19$@B73 x PHN82,3/20/2024,10:58 AM,,5.72,9.02,3.69,0.92,1.06,64.04
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5159Row10$Range19$@B73 x PHN82,3/20/2024,10:59 AM,,5.65,9.19,3.67,0.8,1.05,64.17
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5159Row10$Range19$@B73 x PHN82,3/20/2024,10:59 AM,,5.64,9.12,3.56,0.85,0.99,64.82
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5111Row12$Range17$@PHK76 x LH145,3/20/2024,11:01 AM,,6.1,10.68,4.13,0.78,0.97,64.93
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5111Row12$Range17$@PHK76 x LH145,3/20/2024,11:02 AM,,5.78,10.85,4.03,0.83,1.01,65.06
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5111Row12$Range17$@PHK76 x LH145,3/20/2024,11:03 AM,,6.13,10.81,4.25,0.9,1.01,65.47
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5225Row26$Range21$@LH82 x W606S,3/20/2024,11:04 AM,,6.01,8.08,3.62,0.38,0.99,66.33
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5225Row26$Range21$@LH82 x W606S,3/20/2024,11:05 AM,,6.06,8.19,3.73,0.31,0.99,66.32
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5050Row26$Range14$@PHP02 x W606S,3/20/2024,11:06 AM,,5.73,9.49,3.35,1.08,1,64.29
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5050Row26$Range14$@PHP02 x W606S,3/20/2024,11:06 AM,,6.02,9.1,4.02,1.04,1.15,62.68
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5050Row26$Range14$@PHP02 x W606S,3/20/2024,11:06 AM,,6.05,8.5,3.88,1.02,1.06,63.11
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5084Row10$Range16$@2369 x 3IIH6,3/20/2024,11:07 AM,,5.65,10.41,4.07,0.82,1.17,63.42
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5084Row10$Range16$@2369 x 3IIH6,3/20/2024,11:08 AM,,6.02,10.2,3.97,1.23,1.33,66.65
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5084Row10$Range16$@2369 x 3IIH6,3/20/2024,11:08 AM,,5.73,10.41,4.25,0.79,1.17,62.85
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5079Row5$Range16$@N209 x 3IIH6,3/20/2024,11:10 AM,,6.11,10.04,4.03,1.51,1.38,66.17
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5079Row5$Range16$@N209 x 3IIH6,3/20/2024,11:11 AM,,6.36,9.84,3.93,1.64,1.4,65.18
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5079Row5$Range16$@N209 x 3IIH6,3/20/2024,11:11 AM,,6.32,9.97,4.02,1.66,1.4,63.18
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5069Row20$Range15$@LH198 x PHB47,3/20/2024,11:12 AM,,5.55,10.14,4.03,1.52,1.02,62.99
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5069Row20$Range15$@LH198 x PHB47,3/20/2024,11:13 AM,,5.66,10.36,3.92,1.59,1.13,62.34
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5069Row20$Range15$@LH198 x PHB47,3/20/2024,11:13 AM,,5.81,10.53,3.64,1.36,1.06,63
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6110Row11$Range28$@B73 x PHN82,3/20/2024,11:14 AM,,5.7,10.36,3.26,1.24,1.05,64.2
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6110Row11$Range28$@B73 x PHN82,3/20/2024,11:15 AM,,5.58,10.58,3.9,1.07,1.11,64.03
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6110Row11$Range28$@B73 x PHN82,3/20/2024,11:15 AM,,5.8,9.98,3.33,1.26,1.15,65.82
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5086Row12$Range16$@B14A x Mo17,3/20/2024,11:16 AM,,5.86,10.03,3.63,1.91,1.3,65.87
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5086Row12$Range16$@B14A x Mo17,3/20/2024,11:17 AM,,5.92,10.15,3.72,1.68,1.24,66.16
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5086Row12$Range16$@B14A x Mo17,3/20/2024,11:17 AM,,6.28,9.94,3.83,1.87,1.34,65.77
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6066Row17$Range26$@LH198 x PHB47,3/20/2024,11:18 AM,,6.3,11.73,3.9,1.58,1.11,63.12
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6066Row17$Range26$@LH198 x PHB47,3/20/2024,11:19 AM,,6.13,11.77,4.14,1.32,1.02,63.44
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6066Row17$Range26$@LH198 x PHB47,3/20/2024,11:19 AM,,6,11.84,4.86,1.39,1.13,62.94
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4196Row22$Range9$@PHK56 x LH145,3/20/2024,11:21 AM,,6.45,9.56,3.91,1.38,1.25,61.43
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4196Row22$Range9$@PHK56 x LH145,3/20/2024,11:21 AM,,6.28,9.51,3.85,1.31,1.2,62.19
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4196Row22$Range9$@PHK56 x LH145,3/20/2024,11:21 AM,,6.27,9.3,3.63,1.5,1.25,62.23
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5128Row4$Range18$@LH74 x PHM49,3/20/2024,11:23 AM,,6,8.54,3.71,1.08,1.03,63.06
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5128Row4$Range18$@LH74 x PHM49,3/20/2024,11:23 AM,,5.8,9.22,3.7,1.08,1.01,63.33
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5128Row4$Range18$@LH74 x PHM49,3/20/2024,11:23 AM,,5.91,8.93,3.87,1.03,1.02,62.89
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4199Row25$Range9$@'Iowa I 205' x I159,3/20/2024,11:25 AM,,6.74,9.72,2.62,1.13,0.84,65.5
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4199Row25$Range9$@'Iowa I 205' x I159,3/20/2024,11:25 AM,,6.43,10,3.14,1.08,0.92,65.21
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4199Row25$Range9$@'Iowa I 205' x I159,3/20/2024,11:26 AM,,6.38,9.99,3.34,1,0.99,63.84
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6041Row17$Range25$@Syngenta NK0659-3120-EZ1,3/20/2024,11:27 AM,,6.21,10.03,3.68,1.2,1.2,63.7
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6041Row17$Range25$@Syngenta NK0659-3120-EZ1,3/20/2024,11:28 AM,,5.94,10.11,3.59,1.08,1.18,63.78
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6041Row17$Range25$@Syngenta NK0659-3120-EZ1,3/20/2024,11:28 AM,,5.63,10.04,4.48,0.65,1.1,65.27
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4097Row23$Range5$@K64 x Os426,3/20/2024,11:30 AM,,6.33,12.26,3.9,1.78,1.24,62.72
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4097Row23$Range5$@K64 x Os426,3/20/2024,11:30 AM,,6.33,12.11,4.24,1.38,1.22,63.35
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4097Row23$Range5$@K64 x Os426,3/20/2024,11:31 AM,,6.6,12.09,4.36,1.28,1.13,63.16
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5070Row21$Range15$@PHK76 x LH198,3/20/2024,11:32 AM,,5.66,7.64,3.95,0.84,0.98,64.33
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5070Row21$Range15$@PHK76 x LH198,3/20/2024,11:33 AM,,5.56,7.71,3.68,0.92,0.91,64.54
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5070Row21$Range15$@PHK76 x LH198,3/20/2024,11:33 AM,,5.85,7.45,3.76,0.97,0.95,64.29
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5053Row4$Range15$@PHB47 x PHJ89,3/20/2024,11:35 AM,,6.16,10.52,4.7,0.67,1.01,65.02
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5053Row4$Range15$@PHB47 x PHJ89,3/20/2024,11:35 AM,,6.28,10.24,4.13,0.77,0.95,65.05
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5053Row4$Range15$@PHB47 x PHJ89,3/20/2024,11:36 AM,,6.3,10.54,4.05,0.87,1.01,65.25
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4222Row23$Range10$@L 289 x Os426,3/20/2024,11:37 AM,,5.84,11.31,4.02,1.14,1.25,61.65
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4222Row23$Range10$@L 289 x Os426,3/20/2024,11:38 AM,,5.83,11.55,3.99,0.93,1.2,63.88
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4222Row23$Range10$@L 289 x Os426,3/20/2024,11:39 AM,,6.23,11.04,3.89,1.15,1.23,64.65
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5034Row10$Range14$@PHG39 x PHM49,3/20/2024,11:40 AM,,6.21,9.41,4.11,1.33,1.12,61.97
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5034Row10$Range14$@PHG39 x PHM49,3/20/2024,11:41 AM,,5.76,8.9,3.42,1.14,0.97,63.6
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5034Row10$Range14$@PHG39 x PHM49,3/20/2024,11:41 AM,,6.08,8.78,3.29,1.22,0.98,63.94
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5185Row11$Range20$@PHK56 x 3IIH6,3/20/2024,11:42 AM,,5.2,9.13,4.81,0.52,1.18,63.27
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5185Row11$Range20$@PHK56 x 3IIH6,3/20/2024,11:43 AM,,5.38,9.08,4.26,0.77,1.12,64.01
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5185Row11$Range20$@PHK56 x 3IIH6,3/20/2024,11:43 AM,,5.4,8.61,3.49,0.93,1.01,64.45
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6100Row26$Range27$@PHP02 x LH185,3/20/2024,11:49 AM,,6.14,10.62,3.64,1.97,1.33,65.5
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6100Row26$Range27$@PHP02 x LH185,3/20/2024,11:49 AM,,6.01,10.76,4.08,1.59,1.31,65.72
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6100Row26$Range27$@PHP02 x LH185,3/20/2024,11:50 AM,,6.22,11.11,3.58,2.07,1.26,65.26
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5178Row4$Range20$@2FACC x 3IIH6,3/20/2024,11:51 AM,,5.71,8.19,3.33,1.85,1.4,66.82
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5178Row4$Range20$@2FACC x 3IIH6,3/20/2024,11:51 AM,,5.72,8.89,3.77,1.63,1.4,66.7
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5178Row4$Range20$@2FACC x 3IIH6,3/20/2024,11:52 AM,,5.77,8.27,3.26,1.82,1.32,66.79
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4047Row23$Range3$@66 x A344,3/20/2024,11:53 AM,,5.78,11.03,4.27,1.38,1.18,60.53
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4047Row23$Range3$@66 x A344,3/20/2024,11:53 AM,,6.06,10.64,4,1.47,1.16,61.04
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4047Row23$Range3$@66 x A344,3/20/2024,11:53 AM,,6.01,10.83,4.33,1.3,1.21,60.76
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5030Row6$Range14$@PHT69 x 3IIH6,3/20/2024,11:55 AM,,6.19,10.17,4.25,1,1.37,66.34
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5030Row6$Range14$@PHT69 x 3IIH6,3/20/2024,11:55 AM,,6.19,10.31,4.03,1.09,1.32,66.75
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5030Row6$Range14$@PHT69 x 3IIH6,3/20/2024,11:55 AM,,6.07,10.18,4.05,1.11,1.32,66.7
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4147Row23$Range7$@B37 x OH43,3/20/2024,11:57 AM,,6.23,9.95,2.93,1.36,0.87,65.45
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4147Row23$Range7$@B37 x OH43,3/20/2024,11:58 AM,,6.37,10.34,3.97,1.45,1.03,60.89
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4147Row23$Range7$@B37 x OH43,3/20/2024,11:58 AM,,6.4,10.15,3.32,1.57,1.01,63.05
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5156Row7$Range19$@B84 x 3IIH6,3/20/2024,12:00 PM,,6.2,8.42,3.82,1.95,1.43,66.66
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5156Row7$Range19$@B84 x 3IIH6,3/20/2024,12:00 PM,,6.21,8.43,3.71,2.07,1.42,66.26
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5156Row7$Range19$@B84 x 3IIH6,3/20/2024,12:01 PM,,5.89,8.43,3.92,1.62,1.4,65.62
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5206Row7$Range21$@PHK76 x LH145,3/20/2024,12:03 PM,,6.35,10.86,3.92,0.8,0.97,65.99
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5206Row7$Range21$@PHK76 x LH145,3/20/2024,12:03 PM,,6.38,10.71,3.8,0.8,0.97,65.56
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5206Row7$Range21$@PHK76 x LH145,3/20/2024,12:04 PM,,6.37,10.97,3.96,1.07,0.97,65.01
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6176Row2$Range31$@PHP02 x PHK76,3/20/2024,12:23 PM,,5.14,9.68,4.21,0.78,1.12,63.35
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6176Row2$Range31$@PHP02 x PHK76,3/20/2024,12:24 PM,,5.34,9.64,4,0.97,1.12,63.29
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6176Row2$Range31$@PHP02 x PHK76,3/20/2024,12:25 PM,,5.28,9.95,4.42,0.5,1.04,65.24
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4231Row7$Range11$@PHP02 x PHN46,3/20/2024,12:32 PM,,6.22,8.84,4.24,0.26,0.91,66.63
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4231Row7$Range11$@PHP02 x PHN46,3/20/2024,12:32 PM,,6.18,8.6,3.51,0.7,0.92,66.5
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4231Row7$Range11$@PHP02 x PHN46,3/20/2024,12:33 PM,,6.14,8.93,3.49,0.65,0.89,66.48
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4160Row11$Range8$@PHK56 x PHJ89,3/20/2024,12:35 PM,,6.49,8.9,4.22,0.97,1.1,63.8
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4160Row11$Range8$@PHK56 x PHJ89,3/20/2024,12:37 PM,,6.16,8.93,3.81,0.75,1.09,63.92
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4160Row11$Range8$@PHK56 x PHJ89,3/20/2024,12:38 PM,,6.51,9.47,4.19,1.19,1.12,62.85
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4225Row26$Range10$@2FACC x 3IIH6,3/20/2024,12:39 PM,,5.85,9.05,3.66,1.45,1.35,67.18
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4225Row26$Range10$@2FACC x 3IIH6,3/20/2024,12:40 PM,,5.89,8.57,3.64,1.74,1.41,65.74
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4225Row26$Range10$@2FACC x 3IIH6,3/20/2024,12:40 PM,,5.85,9.12,3.86,1.53,1.41,67.1
