modifiedRow,modifiedRange,originalRow,originalRange,plannedPlotNumber,plantedPlotNumber
28,19,NA,BORDER,BORDER,BORDER
28,20,NA,BORDER,BORDER,BORDER
28,21,NA,BORDER,BORDER,BORDER
28,22,NA,BORDER,BORDER,BORDER
28,23,NA,BORDER,BORDER,BORDER
28,24,NA,BORDER,BORDER,BORDER
28,25,NA,BORDER,BORDER,BORDER
28,26,NA,BORDER,BORDER,BORDER
28,27,NA,BORDER,BORDER,BORDER
28,28,NA,BORDER,BORDER,BORDER
28,29,NA,BORDER,BORDER,BORDER
28,30,NA,BORDER,BORDER,BORDER
