Person,QR Code,Ear #,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Seed Color,Total Kernel Count,Cob Length,Cob Width,Cob Weight,100 Kernel weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot12$Row29$Range26$PHK76 x LH198,3,4,,17,38,181.58,yellow,641,17.5,2.5,18.43,18.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot12$Row29$Range26$PHK76 x LH198,4,4,,16,45,198.2,yellow,697,19.5,2,22.68,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot4$Row29$Range24$PHG39 x PHM49,1,4.5,,18,37,208.83,yellow,628,20,2.5,21.8,31.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot4$Row29$Range24$PHG39 x PHM49,2,4,,17,42,186.46,yellow,471,18.5,2.5,19.37,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot4$Row29$Range24$PHG39 x PHM49,3,4.5,,20,32,181.66,yellow,565,17.5,2.5,19.21,39.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot4$Row29$Range24$PHG39 x PHM49,4,4,,18,30,332.37,yellow,448,18.5,2.5,18.41,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot10$Row25$Range26$LH123HT x 3IIH6,1,3.5,,14,35,96.35,yellow,301,16,2.5,17.54,33.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot10$Row25$Range26$LH123HT x 3IIH6,2,3.5,,14,38,124.42,yellow,378,17,2,18.41,30.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot10$Row25$Range26$LH123HT x 3IIH6,3,4,,14,31,143.25,yellow,374,19,2.5,27.39,29.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot10$Row25$Range26$LH123HT x 3IIH6,4,4,,12,49,189.05,yellow,534,19.5,2.5,24.9,32.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot3$Row27$Range24$2369 x PHP02,1,3.5,,18,27,92.14,orange,560,15,2.5,13.53,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
