Set Size,starch.MeanCorr,protein.MeanCorr,oil.MeanCorr,fiber.MeanCorr,ash.MeanCorr,moisture.MeanCorr
1,0.9445460724993462,0.9924304802218284,0.8456114684186623,0.9670398701836885,0.9813409574517973,0.9959302119055649
2,0.9852901952885708,0.9980488608223594,0.9573311856247241,0.991116412558614,0.995014910606285,0.9989126585867976
3,1.0,1.0,1.0,1.0,1.0,1.0
