genotype	earHeight.pl	flagLeafHeight.pl	combineMoisture.pl	combineTestWeight.pl	earFillLength.pl	earWidth.pl	shelledCobWidth.pl	shelledCobMass.pl	earLength.pl	kernelsPerEar.pl	percentStarch.pl	percentProtein.pl	percentOil.pl	percentFiber.pl	percentAsh.pl	yieldPerAcre.pl	GDDToAnthesis.pl	GDDToSilk.pl	kernelsPerRow.pl	kernelRowNumber.pl	moistureCorrectedKernelMassPerEar.pl	moistureCorrectedHundredKernelMass.pl	anthesisSilkingIntervalGDD.pl	daysToAnthesis.pl	daysToSilk.pl	anthesisSilkingInterval.pl
2369 X 3IIH6	1.1564904363442	2.07427516054099	-0.233850161091113	0.183678606678011	-0.0739148890231783	-0.0612769673632683	0.0328931175902224	-0.100403691186822	-0.14887797236854	3.19376603978494	0.0796794151955934	-0.0832723293798845	-0.152266376768597	0.312699601126416	0.206880422969566	2.26787286918372	1.8680617197431	2.45138204060535	-0.0419643675741488	0.167230970536178	1.31843200466843	0.0481293440464462	3.60132298901439	0.181591135872328	0.200527524727483	0.178163445815788
2369 X LH123HT	0.964086999507455	1.8503238300551	0.567866482584092	0.321924615895727	0.206603439150616	0.00243509534530088	-0.0192068582967738	0.595509591168593	0.0632189162922537	3.48940537197233	0.167811866018689	0.442058370664904	-0.0933847403241638	-0.0918928410504971	0.0109937022660184	2.47719799339981	2.45873151241521	3.58701510879578	0.315081852068342	-0.112650425985996	1.51101463377726	0.237161016827571	3.21412239170944	0.206257980903842	0.288422766705615	0.12822404459766
2369 X PHN82	0.900526866775941	1.83095059396694	0.224596365687005	-0.0359152233787929	-0.0880286076553322	0.0226214297030707	0.122492909788394	0.16796622403257	0.0215516027635966	2.88717000809965	-0.100412715217502	-0.098994415049907	-0.0394143808039832	-0.117646641245319	0.00218841167323668	1.89784570108984	2.34866397045163	2.77092248487554	-0.0977818152390151	-0.164991817196417	1.26541630620369	0.050561940763056	3.95659066911572	0.252988512516578	0.221304012315398	0.275779289949348
2369 X PHP02	0.861415568319118	1.78729191362839	0.0928974535027107	0.109364993537565	0.0921025954436211	0.0483109813906546	0.323838656593405	0.33059344449072	0.104920325586269	3.23241637283192	0.0483791179218659	0.0499551825176557	-0.0918193532735322	-0.0778830600177335	0.00465118806615689	2.20782655840656	1.90304359103897	1.80273353953013	0.147335257256005	0.271840011208467	1.4742591002479	0.168350109271759	3.2206479164445	0.143671527301947	0.161755432448797	0.114905187902437
2369 X PHZ51	0.985875947257517	1.78544895365614	0.322678472166678	-0.0795243372301715	-0.135761891971434	0.0115247914592195	0.0329176093388859	0.422226970501109	-0.0158221067319101	2.71275096993464	-0.0513206401625384	0.142723347500302	-0.0996553708438652	-0.201681331440025	-0.0680083536389873	1.7948190503045	2.74189390444671	4.28409251118207	0.0186184036640654	0.15007597943648	1.29045578352136	0.048695158268855	3.71922251152378	0.502047385082086	0.494946085365569	0.19055897993573
2FACC X 3IIH6	0.762905034611723	1.73125941127086	-0.3329529716224	0.162099088737526	-0.0174856551791439	-0.0348273254560328	-0.134520491318432	0.0832012309375445	-0.113712795970349	2.21388608832584	0.408761577090382	0.237648170026595	0.0500661254300248	0.3135239868324	0.173037738576566	2.25126383495942	2.20885820099653	1.97185889867584	0.133545163788388	0.0480175951903913	1.3127785098629	0.269102628273733	2.39819145394687	0.172745015325283	0.178265383546424	-0.0910962270155491
4N506 X 3IIH6	1.12380053478742	2.0411088750006	-0.117678238275924	0.234016303359707	0.00740451647391527	0.0397216980423036	-0.161901332893709	0.0630228364853399	0.0169070719087564	2.4373633962625	0.0851031702611546	0.153731307219889	-0.30235100560867	0.167909417481668	0.10935257444229	2.143434868377	1.80392888639811	3.03125778846585	-0.0471324052529189	-0.0159686776616469	1.2756390744906	0.252350727371775	3.40701476907741	0.155799426196928	0.200342501627256	0.132810091104264
B105 X 3IIH6	0.773549919233045	1.80451774942781	0.22028503901833	0.395483230645467	-0.0138860803571622	-0.100287372111254	0.0035680336105502	-0.145390851470524	-0.115713178156905	1.93260013987404	0.0227178693136512	-0.0398714136956197	0.042262805607812	0.0786007783830143	0.0277650988829136	2.0138405297134	2.19706556410675	2.55527641701309	0.0630908383888094	-0.3165434691176	1.05868986735484	0.0681148468360854	3.74375446709316	0.186354257108743	0.116037359910977	0.207027154871528
B14A X MO17	1.04646099045718	1.81126260856399	0.512607484425067	0.595545163349066	0.071884111117061	-0.00425822015224721	-0.112550990784671	0.35913235183744	-0.0397951039314404	2.73264373522068	-0.243971473485924	0.0785540569378448	-0.0551183972479531	0.177408150117507	0.0187082696043033	2.05302435577965	2.09393685572444	3.02856906226128	0.114209604019063	-0.00848049089309172	1.38432167721796	0.210835510326842	2.97274334020062	0.308504883636918	0.259596169872699	0.037085576241079
B37 X H95	0.928571375758156	1.80355979443053	0.429764799604218	0.245389332344842	0.0544038242988113	0.140255727645858	-0.0124183479397861	0.847368151122914	0.172878260389907	4.46051217053711	-0.0211591227909712	0.18225186570969	0.0482658421829519	-0.12197662893269	-0.140926864930094	1.64880336128108	2.42480920319977	3.69462453503062	0.131466904394536	0.354272102903564	1.35727030749565	0.0620863497484102	4.09338799827751	0.328451177660948	0.287966767759261	0.3579746740901
B37 X MO17	1.05943128483181	1.87539783649567	0.486953586516542	0.28697329428226	0.129205614204559	0.0230101239146255	0.0599733448249937	0.584318757970603	0.142838473572391	2.75455570128317	0.19609730302581	0.259373147143627	-0.0624815627713677	-0.103084497312958	-0.168347019854213	1.53751294334209	1.73346757608116	2.18363750396071	0.400913504492992	0.358576618807133	1.34642220418329	0.0997438745676572	4.65677262808425	0.0915119137434029	-0.0842020252824399	0.492861888096497
