loc	genotype	earHt.mu	flagLeafHt.mu	tasselTipHt.mu	combineMoisture.mu	combineTestWt.mu	earLen.mu	earFillLen.mu	earWidth.mu	shelledCobWidth.mu	shelledCobWt.mu	shelledCobLen.mu	kernelsPerEar.mu	moistureCorrectedStarch.mu	moistureCorrectedProtein.mu	moistureCorrectedOil.mu	moistureCorrectedFiber.mu	moistureCorrectedAsh.mu	yieldPerAc.mu	GDDToAnthesis.mu	GDDToSilk.mu	kernelsPerRow.mu	kernelRows.mu	moistureCorrectedKernelMass.mu	moistureCorrectedHundredKernelWt.mu	ASI.GDD.mu	daysToAnthesis.mu	daysToSilk.mu	ASI.mu	earHt.max	flagLeafHt.max	tasselTipHt.max	combineMoisture.max	combineTestWt.max	earLen.max	earFillLen.max	earWidth.max	shelledCobWidth.max	shelledCobWt.max	shelledCobLen.max	kernelsPerEar.max	moistureCorrectedStarch.max	moistureCorrectedProtein.max	moistureCorrectedOil.max	moistureCorrectedFiber.max	moistureCorrectedAsh.max	yieldPerAc.max	GDDToAnthesis.max	GDDToSilk.max	kernelsPerRow.max	kernelRows.max	moistureCorrectedKernelMass.max	moistureCorrectedHundredKernelWt.max	ASI.GDD.max	daysToAnthesis.max	daysToSilk.max	earHt.sp	flagLeafHt.sp	tasselTipHt.sp	combineMoisture.sp	combineTestWt.sp	earLen.sp	earFillLen.sp	earWidth.sp	shelledCobWidth.sp	shelledCobWt.sp	shelledCobLen.sp	kernelsPerEar.sp	moistureCorrectedStarch.sp	moistureCorrectedProtein.sp	moistureCorrectedOil.sp	moistureCorrectedFiber.sp	moistureCorrectedAsh.sp	yieldPerAc.sp	GDDToAnthesis.sp	GDDToSilk.sp	kernelsPerRow.sp	kernelRows.sp	moistureCorrectedKernelMass.sp	moistureCorrectedHundredKernelWt.sp	ASI.GDD.sp	daysToAnthesis.sp	daysToSilk.sp	ASI.sp
Ames	2369 X 3IIH6	97.5407961215995	202.112745478418	NA	14.2749178995293	55.0519937471814	16.8226310487609	NA	4.52334087981755	2.51949672401496	17.6800690097137	16.1587707614611	519.332492273168	NA	NA	NA	NA	NA	138.105605224928	NA	NA	NA	16.1888552696328	142.492398391208	27.6016568372693	NA	NA	NA	NA	106.058447046189	221.193805276266	-Inf	17.8509828137416	55.1656261919556	17.2280938584369	-Inf	4.59051953067505	2.54159629830062	18.5422808561609	16.7777658392953	546.856657916696	-Inf	-Inf	-Inf	-Inf	-Inf	168.969527466887	-Inf	-Inf	-Inf	16.9003361005968	149.409904291034	29.3806232750057	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	2369 X LH123HT	103.690971647939	214.879154181103	NA	17.9657686721827	54.3727578930271	16.7875139421485	NA	4.42744470914494	2.57617461867819	21.6190521796736	16.0383854643301	480.559890653391	NA	NA	NA	NA	NA	114.270571623338	NA	NA	NA	14.8944721815087	137.185745892231	28.8156679433121	NA	NA	NA	NA	116.206933365198	231.944002979646	-Inf	24.0509864379111	55.1104375286225	17.6251254543258	-Inf	4.65890001185222	2.69700855155973	25.0740238242234	16.907834890361	547.70476461478	-Inf	-Inf	-Inf	-Inf	-Inf	164.4238508288	-Inf	-Inf	-Inf	15.1315479609005	164.443758320037	30.0510986970953	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	2369 X PHN82	89.2780846182897	195.028039695921	NA	15.5976338802554	56.8529283456085	16.7660850450813	NA	4.48594739283546	2.61510144886392	19.5130324714486	15.9136785329517	508.668463990606	NA	NA	NA	NA	NA	125.669690643284	NA	NA	NA	15.6927976890734	145.263936618393	28.6562594152531	NA	NA	NA	NA	101.096745541003	208.651067148967	-Inf	21.2482957120434	57.0676071111033	17.2039311355188	-Inf	4.58316453121826	2.67046273585681	20.4710293330521	16.7202951003574	543.223591071444	-Inf	-Inf	-Inf	-Inf	-Inf	140.502053983329	-Inf	-Inf	-Inf	16.5778346823896	150.458327820525	29.9142215567874	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	2369 X PHP02	100.839339609453	204.430042663861	NA	14.442519516653	55.4610462334005	16.8564575197763	NA	4.44750042206709	2.53238077979887	18.7354139675576	16.2383570974037	491.929771101262	NA	NA	NA	NA	NA	124.638282362468	NA	NA	NA	15.5307418109125	141.34116437716	28.5977931439097	NA	NA	NA	NA	106.147381997898	214.096265364364	-Inf	20.8968393892045	55.594981394478	17.3117299318459	-Inf	4.5839438930526	2.60421451395635	20.8661372646117	16.6147129798963	518.152367964236	-Inf	-Inf	-Inf	-Inf	-Inf	170.604838573309	-Inf	-Inf	-Inf	15.8655239444111	157.310560170839	30.5191508096754	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	2369 X PHZ51	104.621345533773	219.282183402892	NA	15.8389754244333	55.3863511143118	17.7221141942663	NA	4.45532524265284	2.54594812574228	23.1790518592906	17.2039808890007	511.967496821941	NA	NA	NA	NA	NA	123.245919532064	NA	NA	NA	14.7378255146781	151.847781482931	29.6590232649714	NA	NA	NA	NA	115.343339761701	230.079959852705	-Inf	21.9321836724147	55.9206714216563	18.9705273323964	-Inf	4.49227847305743	2.62041728700384	25.4873291947465	18.1362799389818	559.273313430556	-Inf	-Inf	-Inf	-Inf	-Inf	137.437891819846	-Inf	-Inf	-Inf	15.4832000645148	164.29584459381	31.7113402236938	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	2FACC X 3IIH6	94.7871282358379	195.131194148968	NA	14.0881406887288	55.1656963373304	16.5137667589516	NA	4.47057246988382	2.53007561139645	18.8956879811655	15.7106786288077	469.19927575701	NA	NA	NA	NA	NA	135.477837535338	NA	NA	NA	16.1210480480769	133.013681143962	28.2164181106828	NA	NA	NA	NA	103.858231645946	206.109104122719	-Inf	18.9044563083503	56.0065508022015	16.9778122788125	-Inf	4.55882902710532	2.56549749978231	18.9906096244199	16.6034667853751	501.479327097374	-Inf	-Inf	-Inf	-Inf	-Inf	158.663226898042	-Inf	-Inf	-Inf	17.0200293751501	140.459789806137	28.9483867948098	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	4N506 X 3IIH6	104.85987848367	217.314049626345	NA	15.066284843238	54.5058373322825	17.4878852022374	NA	4.55268923120032	2.55085376393724	21.4259024439551	16.7595076143244	517.795253557693	NA	NA	NA	NA	NA	142.710716335399	NA	NA	NA	15.636161811645	154.74893284696	29.7539808675414	NA	NA	NA	NA	113.057552782589	236.446589541368	-Inf	20.1158872087524	54.9426777232837	18.4196587816733	-Inf	4.69348914892137	2.62695033132749	24.8625022629207	17.7250102808116	568.691319770324	-Inf	-Inf	-Inf	-Inf	-Inf	178.76715635149	-Inf	-Inf	-Inf	16.3798295576844	171.163234122623	30.4872461611709	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	B105 X 3IIH6	94.5891290971526	204.331391955439	NA	16.1370573321446	52.8303129501288	17.3421096650765	NA	4.45699579565999	2.54854624056968	16.3841102776393	16.2835807516678	479.356515451998	NA	NA	NA	NA	NA	120.313271984277	NA	NA	NA	15.7843328945164	134.655856895489	27.6223078615045	NA	NA	NA	NA	100.355180955418	215.993065614512	-Inf	23.6674897157172	53.0677581001149	19.1015507740365	-Inf	4.74940935689064	2.58676060518219	19.041534560043	18.1516883042312	518.505157090505	-Inf	-Inf	-Inf	-Inf	-Inf	159.94942373323	-Inf	-Inf	-Inf	15.9097857926191	159.953301036203	30.6264220611008	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	B14A X MO17	100.892820172652	207.908066995272	NA	19.1793236213509	53.1998788388215	16.8810611023906	NA	4.38029707979314	2.49769580895656	20.194571896737	16.0974732147601	472.015142064657	NA	NA	NA	NA	NA	133.287671321557	NA	NA	NA	14.5408136836819	137.490808805323	29.1839648218803	NA	NA	NA	NA	111.738999948949	219.974867892756	-Inf	23.4928093480903	53.9007018901407	17.885800948517	-Inf	4.57679907300672	2.53992446684868	23.0509917503496	17.2941473120009	528.490261873752	-Inf	-Inf	-Inf	-Inf	-Inf	173.34455624616	-Inf	-Inf	-Inf	15.0544253069334	162.743352854718	31.4432741849559	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	B37 X H95	98.938614884178	213.441103152857	NA	14.1556230319278	55.3568960375068	16.4030101579384	NA	4.54861103738185	2.65511518885289	21.7737655624693	15.4083611220177	470.403008555127	NA	NA	NA	NA	NA	98.5288140680551	NA	NA	NA	16.2782471241472	136.689274394061	28.7014543646772	NA	NA	NA	NA	110.842904193812	235.661773906786	-Inf	23.3695545314748	55.3741656685844	17.1734955113751	-Inf	4.76784614666865	2.77302101595476	24.6741235598803	16.8570361969631	575.857049481692	-Inf	-Inf	-Inf	-Inf	-Inf	131.625365090356	-Inf	-Inf	-Inf	17.0072932379009	173.948636290326	33.3847526120172	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ames	B37 X MO17	104.953323684974	213.223702246693	NA	16.6272173302529	54.9009704835559	17.3269497376129	NA	4.45339505127733	2.58405030038323	22.8816107519144	16.8878720291071	471.219923241074	NA	NA	NA	NA	NA	121.181756401287	NA	NA	NA	14.3753372190603	141.980839943443	30.0751878050647	NA	NA	NA	NA	111.151813689683	223.813187888855	-Inf	22.4454412186905	54.9834084520731	18.2632213140162	-Inf	4.63365538820604	2.68836641423605	27.0324129758912	17.9299525095075	526.0262441258	-Inf	-Inf	-Inf	-Inf	-Inf	155.207513879519	-Inf	-Inf	-Inf	14.7948251210376	163.786889828611	32.3026293300538	-Inf	-Inf	-Inf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
