Set Size,Ear Width.MeanCorr,Kernel Fill Length.MeanCorr,Kernel Row Number.MeanCorr,Kernels per Row.MeanCorr,Ear Weight.MeanCorr,Kernel Count.MeanCorr,Cob Length.MeanCorr,Cob Width.MeanCorr,Cob Weight.MeanCorr,100 Kernel weight.MeanCorr,Kernel Mass.MeanCorr
1,0.9812421198215435,0.9419581889877393,0.7504946758710623,0.7483456022260863,0.8170893205688077,0.7727218110780262,0.9578114440598575,0.9694590136374699,0.8117699764090427,0.8923242527777809,0.8185686829950615
2,0.9937622294506159,0.9784419473835952,0.8826178418804626,0.889665903499595,0.9251668924809318,0.895260711371997,0.9842322623711126,0.988728093396755,0.9230402749916548,0.9612314024105785,0.9264395684587818
3,0.9975354221260659,0.9899889120503267,0.9596896750446035,0.957892281679605,0.9726833330873266,0.959594318484254,0.9933731442663064,0.996501679270477,0.9722792851899791,0.9868308966904896,0.9728239804475203
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
