,plantDensity.sp,kernelRowNumber.sp,kernelsPerRow.sp,hundredKernelMass.sp,environment,0
4,,,,,,2023:Lincoln:0:Low
0,,,,,,0.27277678657460525
1,,,,,,0.25882106776508623
2,,,,,,0.2352410295742975
3,,,,,,0.2331611160860111
4,,,,,,2023:Lincoln:0:Low
0,,,,,,0.827050857253153
1,,,,,,0.0
2,,,,,,0.17294914274684697
3,,,,,,0.0
4,,,,,,2023:Lincoln:0:Medium
0,,,,,,0.7156647378724605
1,,,,,,0.07309441533899866
2,,,,,,0.16229905826547386
3,,,,,,0.048941788523067
4,,,,,,2023:Lincoln:0:Medium
0,,,,,,0.42025830207467685
1,,,,,,0.10918399792292624
2,,,,,,0.2543718240763864
3,,,,,,0.21618587592601066
4,,,,,,2023:Lincoln:0:Medium
0,,,,,,0.30799681269492024
1,,,,,,0.2378193796529146
2,,,,,,0.23907591320786553
3,,,,,,0.21510789444429962
4,,,,,,2023:Lincoln:0:Medium
0,,,,,,0.2496991133178906
1,,,,,,0.2507344634140763
2,,,,,,0.24525624890888487
3,,,,,,0.25431017435914827
4,,,,,,2023:Lincoln:0:Medium
0,,,,,,0.0
1,,,,,,0.8245552228869022
2,,,,,,0.0
3,,,,,,0.17544477711309775
4,,,,,,2023:Lincoln:0:High
0,,,,,,0.2548234500533334
1,,,,,,0.22391068420095042
2,,,,,,0.24430352999116003
3,,,,,,0.2769623357545563
4,,,,,,2023:Lincoln:0:High
0,,,,,,0.03151553674577721
1,,,,,,0.541338972342301
2,,,,,,0.13147424237707103
3,,,,,,0.29567124853485083
4,,,,,,2023:Lincoln:0:High
0,,,,,,0.18617360752577136
1,,,,,,0.21902918253818415
2,,,,,,0.2430527090188496
3,,,,,,0.3517445009171949
4,,,,,,2023:Lincoln:0:High
0,,,,,,0.22030922231682593
1,,,,,,0.2639165438680604
2,,,,,,0.24037140006256025
3,,,,,,0.2754028337525534
4,,,,,,2023:Lincoln:0:High
0,,,,,,0.13051274757548323
1,,,,,,0.12568586573151003
2,,,,,,0.4614692208327197
3,,,,,,0.2823321658602871
4,,,,,,2023:Missouri Valley:0:Medium
0,,,,,,0.027729559161499478
1,,,,,,0.12697545685461514
2,,,,,,0.4725681652054063
3,,,,,,0.3727268187784792
4,,,,,,2023:Missouri Valley:0:Medium
0,,,,,,0.16179404459578772
1,,,,,,0.17993733407804272
2,,,,,,0.4301669219152706
3,,,,,,0.22810169941089897
4,,,,,,2023:Missouri Valley:0:Medium
0,,,,,,0.12578011205859896
1,,,,,,0.22563189178452706
2,,,,,,0.3309044575271943
3,,,,,,0.31768353862967963
4,,,,,,2023:Missouri Valley:0:Medium
0,,,,,,0.05016700535756362
1,,,,,,0.142287359372563
2,,,,,,0.5750247243110583
3,,,,,,0.2325209109588151
4,,,,,,2023:Missouri Valley:0:Medium
0,,,,,,0.17227238880374984
1,,,,,,0.1042807840561742
2,,,,,,0.5627228172030939
3,,,,,,0.16072400993698197
4,,,,,,2023:North Platte:4.5:Medium
0,,,,,,0.17994765540679478
1,,,,,,0.1264721121558534
2,,,,,,0.4408186898757173
3,,,,,,0.25276154256163463
4,,,,,,2023:North Platte:4.5:Medium
0,,,,,,0.09232827284603987
1,,,,,,0.013255140967856776
2,,,,,,0.7599359620735381
3,,,,,,0.1344806241125654
4,,,,,,2023:North Platte:4.5:Medium
0,,,,,,0.16141415709448984
1,,,,,,0.14013803828804586
2,,,,,,0.5264465043635282
3,,,,,,0.17200130025393617
4,,,,,,2023:North Platte:4.5:Medium
0,,,,,,0.19910908643771172
1,,,,,,0.1067087507563789
2,,,,,,0.49297221438680283
3,,,,,,0.20120994841910667
4,,,,,,2023:North Platte:4.5:Medium
0,,,,,,0.13817658279185502
1,,,,,,0.015333392741093459
2,,,,,,0.38198570127953396
3,,,,,,0.4645043231875176
4,,,,,,2023:North Platte:0:Medium
0,,,,,,0.23995016370098768
1,,,,,,0.0635020469291722
2,,,,,,0.32218214555288077
3,,,,,,0.3743656438169593
4,,,,,,2023:North Platte:0:Medium
0,,,,,,0.253459373959147
1,,,,,,0.0919271879247231
2,,,,,,0.265363964768668
3,,,,,,0.3892494733474619
4,,,,,,2023:North Platte:0:Medium
0,,,,,,0.17332610324080025
1,,,,,,0.010186868159553027
2,,,,,,0.3433433905171454
3,,,,,,0.4731436380825013
4,,,,,,2023:North Platte:0:Medium
0,,,,,,0.22800618272425296
1,,,,,,0.14089470919759528
2,,,,,,0.3494461869658057
3,,,,,,0.281652921112346
4,,,,,,2023:North Platte:0:Medium
