location	genotype	earHeight.mu	flagLeafHeight.mu	combineMoisture.mu	combineTestWeight.mu	earFillLength.mu	earWidth.mu	shelledCobWidth.mu	shelledCobMass.mu	earLength.mu	kernelsPerEar.mu	percentStarch.mu	percentProtein.mu	percentOil.mu	percentFiber.mu	percentAsh.mu	yieldPerAcre.mu	GDDToAnthesis.mu	GDDToSilk.mu	kernelsPerRow.mu	kernelRowNumber.mu	moistureCorrectedKernelMassPerEar.mu	moistureCorrectedHundredKernelMass.mu	anthesisSilkingIntervalGDD.mu	daysToAnthesis.mu	daysToSilk.mu	anthesisSilkingInterval.mu	earHeight.max	flagLeafHeight.max	combineMoisture.max	combineTestWeight.max	earFillLength.max	earWidth.max	shelledCobWidth.max	shelledCobMass.max	earLength.max	kernelsPerEar.max	percentStarch.max	percentProtein.max	percentOil.max	percentFiber.max	percentAsh.max	yieldPerAcre.max	GDDToAnthesis.max	GDDToSilk.max	kernelsPerRow.max	kernelRowNumber.max	moistureCorrectedKernelMassPerEar.max	moistureCorrectedHundredKernelMass.max	anthesisSilkingIntervalGDD.max	daysToAnthesis.max	daysToSilk.max	earHeight.min	flagLeafHeight.min	combineMoisture.min	combineTestWeight.min	earFillLength.min	earWidth.min	shelledCobWidth.min	shelledCobMass.min	earLength.min	kernelsPerEar.min	percentStarch.min	percentProtein.min	percentOil.min	percentFiber.min	percentAsh.min	yieldPerAcre.min	GDDToAnthesis.min	GDDToSilk.min	kernelsPerRow.min	kernelRowNumber.min	moistureCorrectedKernelMassPerEar.min	moistureCorrectedHundredKernelMass.min	anthesisSilkingIntervalGDD.min	daysToAnthesis.min	daysToSilk.min	earHeight.pl	flagLeafHeight.pl	combineMoisture.pl	combineTestWeight.pl	earFillLength.pl	earWidth.pl	shelledCobWidth.pl	shelledCobMass.pl	earLength.pl	kernelsPerEar.pl	percentStarch.pl	percentProtein.pl	percentOil.pl	percentFiber.pl	percentAsh.pl	yieldPerAcre.pl	GDDToAnthesis.pl	GDDToSilk.pl	kernelsPerRow.pl	kernelRowNumber.pl	moistureCorrectedKernelMassPerEar.pl	moistureCorrectedHundredKernelMass.pl	anthesisSilkingIntervalGDD.pl	daysToAnthesis.pl	daysToSilk.pl	anthesisSilkingInterval.pl
Ames	2369 X 3IIH6	97.5407961215995	202.112745478418	13.15	55.0519937471815		4.5233105377952	2.51949774148087	17.6801202654962	16.1588310428835	519.27851148934						138.106355198549				16.1890995840647	141.341567160048	27.5675332998404					106.058447046189	221.193805276266	15.7	55.1656261919557		4.59036933196984	2.54176790472882	18.5424524406236	16.7779526974489	547.001698259395						168.971503047584				16.9007190078274	149.806814204265	29.3161434920889				89.9010640242895	183.391630796949	10.6	54.9383613024073	Inf	4.4088959936956	2.49586297948174	16.0134510933626	15.1581828300365	481.595164746008	Inf	Inf	Inf	Inf	Inf	107.855649629149	Inf	Inf	Inf	15.7848722994885	125.501048058242	26.4631013983085	Inf	Inf	Inf	0.51198212169798	1.87690426429534	1.01456995667916	1.0306361280839		1.02660734698399	0.967435996545116	0.661737919405105	1.01410412197879	1.3360161799347						2.80639643523665				1.06027630447655	1.07169915396509	0.395089294675577				
Ames	2369 X LH123HT	103.690971647939	214.879154181103	20.3166666666667	54.3727578930274		4.42744792946466	2.57615958965662	21.6190440326503	16.03846186001	480.454251663821						114.271541170049				14.894843945833	137.348168985629	28.7942980075433					116.206933365198	231.944002979647	27	55.1104375286227		4.65912181753626	2.69718705644435	25.0740113256419	16.9078484333261	547.673427569634						164.425049189007				15.1325230334252	163.201664687855	30.0438843782349				88.4494401794007	187.86329701238	11.4	53.6350782574321	Inf	4.27264250427054	2.50315295898648	19.1623073609397	15.2372353111353	390.024863680132	Inf	Inf	Inf	Inf	Inf	77.9869076609765	Inf	Inf	Inf	14.2238920089135	107.919220382429	26.9337601749459	Inf	Inf	Inf	0.457226457283804	0.944236554209821	1.28595974088313	1.04111767715898		1.04950510393695	1.01782697435466	1.66149804464106	0.987870231524225	3.58532212736298						2.42910356517073				0.988929765391231	1.92569910135574	0.696928154444121				
Ames	2369 X PHN82	89.2780846182897	195.02803969592	16.0333333333333	56.8529283456086		4.48593278779257	2.61513288366894	19.5129540981291	15.9137432566765	508.674540676304						125.670461868863				15.6929345990094	145.926302656597	28.6446909928028					101.096745541003	208.651067148968	23.1	57.0676071111034		4.58315649080444	2.67063449698059	20.4710368873899	16.7201169661939	543.41003111486						140.502815633616				16.5785922546432	152.016756247989	29.9126500026405				73.2507359019607	179.241416409989	11.2	56.6382495801138	Inf	4.38855859908595	2.55894576605758	18.1929436966785	15.5136383618252	455.348415717912	Inf	Inf	Inf	Inf	Inf	95.6952656911487	Inf	Inf	Inf	14.748339366458	138.835794491484	27.2632471355826	Inf	Inf	Inf	2.57854848680465	2.29361492853009	1.52195913388012	0.964868828265298		1.02157978866027	0.904213092677495	0.883701686220515	0.903117292845346	2.07172764550658						1.29643185429936				0.477877146206143	0.542090374501485	0.30254390360446				
Ames	2369 X PHP02	100.839339609453	204.430042663861	12.8333333333333	55.4610462334007		4.44741939715453	2.53244853696969	18.7354460857846	16.2383389266711	491.89248158606						124.638464229462				15.5309947882459	140.946453466686	28.6123246923539					106.147381997898	214.096265364364	21.2	55.5949813944781		4.58391114445997	2.60440486572436	20.8663063123642	16.6145451478071	518.144735826696						170.603791876804				15.8657595288393	155.964038854903	30.5588429479742				95.117622677938	192.890941972713	5.3	55.3271110723232	Inf	4.35352799840988	2.42857196886327	16.4481633018063	15.6176001794144	462.392154362692	Inf	Inf	Inf	Inf	Inf	96.7063565605306	Inf	Inf	Inf	15.1036202025118	125.010443947977	26.3056414582189	Inf	Inf	Inf	0.950829080922589	1.60440730796402	1.87756930499643	0.99928474020131		1.00411769064245	0.991981567768217	0.951343534289557	0.933431227270265	-0.332355647060297						2.51091030698509				1.00148140963967	0.806187731233693	1.14280393313627				
Ames	2369 X PHZ51	104.621345533773	219.282183402892	15.9833333333333	55.386351114312		4.45528732525643	2.54587478003287	23.1790499392032	17.2040389392424	511.9587082112						123.245115881969				14.7381181612877	150.70876299662	29.6460307924968					115.3433397617	230.079959852705	23.2	55.9206714216565		4.49228903598722	2.6202417044856	25.487614419217	18.1364500567847	559.449540389608						137.437495136146				15.4837285694697	163.799364215414	31.6832705171041				86.2453580875083	204.485339342441	6.4	54.8520308069674	Inf	4.43243292805673	2.44406139195921	20.6245081261601	16.302913572201	481.594009182345	Inf	Inf	Inf	Inf	Inf	109.372877607964	Inf	Inf	Inf	13.8824188489181	138.536342924817	26.4473331180975	Inf	Inf	Inf	0.116549405082054	-0.481325083063487	1.77307871560936	1.01449161382209		0.941799948246462	0.99133628056703	1.43685483322463	1.01481562834328	0.517467227823571						1.21332708475936				1.25213492031545	2.27196186951532	1.33083365607573				
Ames	2FACC X 3IIH6	94.7871282358378	195.131194148968	12.1666666666667	55.1656963373306		4.47056451832922	2.53011471405875	18.8958546629489	15.7106379775395	469.191918875171						135.477158414736				16.1212888290195	133.670767910718	28.2236278771096					103.858231645946	206.109104122719	15.9	56.0065508022016		4.55895065000653	2.56566525517847	18.9907787973434	16.6034678229768	501.67454936516						158.662667569393				17.0200441973743	141.214608045725	29.0777798233528				79.2930307723055	186.38284511796	7.9	54.3248418724597	Inf	4.33239941769205	2.50338359479902	18.7038460671951	15.1985211078333	440.402513835592	Inf	Inf	Inf	Inf	Inf	111.79362401629	Inf	Inf	Inf	15.6632255169371	123.612711101443	27.4925665554028	Inf	Inf	Inf	1.88187404066175	1.88758017095082	1.19837455453938	1.02111913125028		0.97804420256806	0.960926285599421	0.673727155502061	0.993504140556236	0.158444874936656						1.82699793155339				1.25575568269073	0.0792469275360248	0.69663934110191				
Ames	4N506 X 3IIH6	104.85987848367	217.314049626344	13.8833333333333	54.5058373322827		4.5526675012975	2.55083846934139	21.425899764418	16.7595284463637	517.786436574265						142.71091465835				15.6365746867134	152.013503055857	29.7521347085849					113.057552782589	236.446589541368	19.8	54.9426777232838		4.69362870142938	2.62677080000548	24.8627032870027	17.7250326977269	568.539711619542						178.769401561229				16.3802407300436	170.833096550434	30.4568740151927				99.5331570268437	204.638031335472	10.8	54.0689969412817	Inf	4.50088127742633	2.49034919993496	18.7917147467269	15.7804266085955	469.832413154045	Inf	Inf	Inf	Inf	Inf	107.476524302455	Inf	Inf	Inf	15.4272847545823	141.711006688461	27.9320103918153	Inf	Inf	Inf	0.55261903729102	0.106425037186941	1.25188589243119	1.06962050286637		1.00883692643364	0.958491456697511	1.16792574775356	1.05667197045739	0.76253140882912						2.40100157241386				0.863301656503268	1.53797143575224	1.15158835385301				
Ames	B105 X 3IIH6	94.5891290971526	204.331391955439	16.3833333333333	52.830312950129		4.45707048725247	2.54861837736991	16.384149605694	16.2835989583552	479.352199672344						120.314047627415				15.7887212462632	133.527215782547	27.6320925796445					100.355180955418	215.993065614512	26.3	53.0677581001152		4.74945758569687	2.58698847481385	19.0417475322492	18.1516444753384	518.309108800591						159.950858078005				15.9098922938349	158.651383238453	30.6245692374816				85.4462969960794	199.277633016581	5.3	52.5928678001429	Inf	4.1760726345507	2.46134817443521	12.2138414213687	14.0514640188917	382.448305186059	Inf	Inf	Inf	Inf	Inf	74.6900450827057	Inf	Inf	Inf	15.5732624990656	91.1967709417398	23.3534341351027	Inf	Inf	Inf	0.663354837497143	0.852501736817784	1.62962637350524	1.08284339738129		0.788874824669438	0.909986102699587	-0.138274855148044	0.989908056790698	-1.79496087470273						1.74675684061383				0.988185067651995	-1.62062220103395	0.336077142856058				
Ames	B14A X MO17	100.892820172652	207.908066995272	21.6666666666667	53.1998788388217		4.3802939686209	2.49778325044144	20.1945760601513	16.0974141556356	472.031229055768						133.28680797196				14.5411165016876	137.082031980364	29.1688720294517					111.738999948949	219.974867892756	25.3	53.9007018901407		4.57688386216909	2.54009524514202	23.0509975379061	17.2939980769481	528.445635776694						173.34201525804				15.0550545506777	162.733096996232	31.4406285233925				94.5867642520897	200.625972095966	17.9	52.4990557875026	Inf	4.23843002070862	2.47265752303754	18.8441034756185	14.9369246816641	421.41928720706	Inf	Inf	Inf	Inf	Inf	90.2910860157148	Inf	Inf	Inf	13.6667467505799	117.666704334063	27.6722027074619	Inf	Inf	Inf	0.99135034836006	0.352104445071877	0.687285170370134	1.05479493379969		0.913279354034936	0.968422774218258	0.463510066053795	1.01442686698768	-0.676929225588778						2.13415685861237				1.06916565464363	-0.690049745945099	0.57178898219917				
Ames	B37 X H95	98.938614884178	213.441103152856	12.4166666666667	55.356896037507		4.54857096449185	2.65522449896899	21.7737262529673	15.4083391113743	470.429403728073						98.5286523092654				16.2785311106373	137.212435571813	28.7098045019364					110.842904193812	235.661773906786	26.2	55.3741656685846		4.76755094336761	2.77321177457109	24.6741203395642	16.8570476762986	575.623781922509						131.623246690021				17.0071369787208	172.117061411432	33.3825796708397				88.2585977861282	200.603210200386	5.3	55.3396264064294	Inf	4.07128292454309	2.48270905594699	16.3194894826111	13.5435648542013	299.893250410749	Inf	Inf	Inf	Inf	Inf	76.0532824920102	Inf	Inf	Inf	15.1025076437494	87.8636799905753	26.3451922377169	Inf	Inf	Inf	0.634425080192906	1.88085921877876	2.58160139481645	1.0353309659795		1.1552720729831	0.928572965970794	1.08461344224376	1.16845573259199	8.88500512773613						1.42469521077989				0.548702768463514	3.32038458161169	0.754003415069005				
