hybrid,P1,P2,P1InPanel,P2InPanel,BothInPanel,releaseYearP1,releaseYearP2,youngestParentAge,oldestParentAge,meanParentAge
2369 X PHZ51,2369,PHZ51,FALSE,TRUE,FALSE,1988,1986,1988,1986,1987
PHK76 X LH198,PHK76,LH198,TRUE,FALSE,FALSE,1987,1991,1991,1987,1989
LH185 X W606S,LH185,W606S,FALSE,FALSE,FALSE,1993,2009,2009,1993,2001
PHP02 X LH198,PHP02,LH198,FALSE,FALSE,FALSE,1988,1991,1991,1988,1989.5
LH195 X LH185,LH195,LH185,FALSE,FALSE,FALSE,1989,1993,1993,1989,1991
PHG39 X PHN82,PHG39,PHN82,TRUE,FALSE,FALSE,1983,1989,1989,1983,1986
PHW52 X PHZ51,PHW52,PHZ51,FALSE,TRUE,FALSE,1988,1986,1988,1986,1987
PHP02 X PHG47,PHP02,PHG47,FALSE,TRUE,FALSE,1988,1986,1988,1986,1987
PHN46 X PHK56,PHN46,PHK56,FALSE,FALSE,FALSE,1990,1990,1990,1990,1990
PHN46 X W606S,PHN46,W606S,FALSE,FALSE,FALSE,1990,2009,2009,1990,1999.5
PHT69 X 3IIH6,PHT69,3IIH6,FALSE,TRUE,FALSE,1992,1993,1993,1992,1992.5
B105 X 3IIH6,B105,3IIH6,FALSE,TRUE,FALSE,1996,1993,1996,1993,1994.5
N209 X 3IIH6,N209,3IIH6,FALSE,TRUE,FALSE,1997,1993,1997,1993,1995
PHJ40 X LH82,PHJ40,LH82,TRUE,TRUE,TRUE,1986,1984,1986,1984,1985
PHP02 X PHK76,PHP02,PHK76,FALSE,TRUE,FALSE,1988,1987,1988,1987,1987.5
PHK56 X W606S,PHK56,W606S,FALSE,FALSE,FALSE,1990,2009,2009,1990,1999.5
PHK76 X LH145,PHK76,LH145,TRUE,TRUE,TRUE,1987,1983,1987,1983,1985
PHK56 X LH82,PHK56,LH82,FALSE,TRUE,FALSE,1990,1984,1990,1984,1987
PHP02 X LH185,PHP02,LH185,FALSE,FALSE,FALSE,1988,1993,1993,1988,1990.5
PHK76 X 3IIH6,PHK76,3IIH6,TRUE,TRUE,TRUE,1987,1993,1993,1987,1990
PHK56 X PHJ89,PHK56,PHJ89,FALSE,FALSE,FALSE,1990,1991,1991,1990,1990.5
PHN46 X PHB47,PHN46,PHB47,FALSE,FALSE,FALSE,1990,1983,1990,1983,1986.5
LH185 X LH82,LH185,LH82,FALSE,TRUE,FALSE,1993,1984,1993,1984,1988.5
B73 X PHN82,B73,PHN82,TRUE,FALSE,FALSE,1972,1989,1989,1972,1980.5
LH123HT X 3IIH6,LH123HT,3IIH6,TRUE,TRUE,TRUE,1983,1993,1993,1983,1988
