Start Date:,5/1/2023,Start Time:,12:00 AM
End Date:,5/1/2023,End Time:,3:41 PM

Product:,Whole Corn,,Parameters:,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
,,,Target:,,,,,,
Sample ID,Date,Time,,,,,,,
MV$Inbred-HIPS$Rep1$Plot187$Row59$Range23$NC326,5/1/2023,11:53 AM,,6.66,10.41,3.81,1.61,1.14,59.69
MV$Inbred-HIPS$Rep1$Plot187$Row59$Range23$NC326,5/1/2023,11:54 AM,,6.71,10.81,3.88,1.57,1.13,59.96
MV$Inbred-HIPS$Rep1$Plot187$Row59$Range23$NC326,5/1/2023,11:54 AM,,6.6,10.14,3.7,1.58,1.11,60.35
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,5/1/2023,12:01 PM,,6.45,10.88,3.97,1.2,0.97,62.89
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,5/1/2023,12:02 PM,,6.19,10.56,4.18,1.27,1.05,63.33
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,5/1/2023,12:04 PM,,6.47,10.75,4.34,0.93,1.03,63.18
MV$Inbred-HIPS$Rep1$Plot186$Row58$Range23$KY228,5/1/2023,12:12 PM,,5.99,11.47,3.22,1.01,0.86,61.97
MV$Inbred-HIPS$Rep1$Plot186$Row58$Range23$KY228,5/1/2023,12:13 PM,,6.7,12.14,4.13,0.91,0.97,58.81
MV$Inbred-HIPS$Rep1$Plot186$Row58$Range23$KY228,5/1/2023,12:13 PM,,6.4,11.77,3.45,0.75,0.91,62.56
MV$Inbred-HIPS$Rep1$Plot185$Row57$Range23$78371A,5/1/2023,12:14 PM,,6.69,11.51,3.62,0.93,0.97,60.45
MV$Inbred-HIPS$Rep1$Plot185$Row57$Range23$78371A,5/1/2023,12:14 PM,,6.29,11.64,3.67,1.12,0.96,63.31
MV$Inbred-HIPS$Rep1$Plot185$Row57$Range23$78371A,5/1/2023,12:14 PM,,6.08,11.08,3.63,1.09,0.88,62.54
MV$Inbred-HIPS$Rep1$Plot113$Row57$Range15$764,5/1/2023,12:15 PM,,6.26,11.56,3.49,1.61,1.03,61.51
MV$Inbred-HIPS$Rep1$Plot113$Row57$Range15$764,5/1/2023,12:16 PM,,6.24,11.5,3.74,1.66,1.06,61.9
MV$Inbred-HIPS$Rep1$Plot113$Row57$Range15$764,5/1/2023,12:16 PM,,6.25,11.74,3.38,1.54,1.02,62.44
MV$Inbred-HIPS$Rep1$Plot113$Row57$Range15$764,5/1/2023,12:17 PM,,6.27,11.75,3.41,1.54,1.01,62.57
MV$Inbred-HIPS$Rep1$Plot364$Row56$Range43$A441-5,5/1/2023,12:20 PM,,5.93,12.15,3.45,0.98,0.9,61.91
MV$Inbred-HIPS$Rep1$Plot364$Row56$Range43$A441-5,5/1/2023,12:21 PM,,6.29,12.15,3.79,1.04,0.92,61.61
MV$Inbred-HIPS$Rep1$Plot364$Row56$Range43$A441-5,5/1/2023,12:22 PM,,6.38,12.2,3.61,1.2,0.94,61.76
MV$Inbred-HIPS$Rep1$Plot66$Row59$Range10$H8431,5/1/2023,12:23 PM,,7.04,11.37,3.6,1.55,1.23,60.43
MV$Inbred-HIPS$Rep1$Plot66$Row59$Range10$H8431,5/1/2023,12:24 PM,,6.94,11.49,3.98,1.68,1.17,59.41
MV$Inbred-HIPS$Rep1$Plot66$Row59$Range10$H8431,5/1/2023,12:24 PM,,6.92,11.07,3.79,1.81,1.34,64.36
MV$Inbred-HIPS$Rep1$Plot66$Row59$Range10$H8431,5/1/2023,12:25 PM,,6.82,11.49,3.85,1.93,1.37,64.03
MV$Inbred-HIPS$Rep1$Plot128$Row54$Range17$W182B,5/1/2023,12:26 PM,,6.1,14.13,3.9,2.16,1.23,59.06
MV$Inbred-HIPS$Rep1$Plot128$Row54$Range17$W182B,5/1/2023,12:28 PM,,5.91,14.06,4.16,2.07,1.32,59.75
MV$Inbred-HIPS$Rep1$Plot128$Row54$Range17$W182B,5/1/2023,12:29 PM,,5.87,14.3,4.17,2.32,1.34,59.36
MV$Inbred-HIPS$Rep1$Plot207$Row61$Range25$LH39,5/1/2023,12:31 PM,,5.2,11.1,3.4,1.75,0.93,64.78
MV$Inbred-HIPS$Rep1$Plot207$Row61$Range25$LH39,5/1/2023,12:31 PM,,5.64,11.16,3.9,1.27,0.93,64.9
MV$Inbred-HIPS$Rep1$Plot207$Row61$Range25$LH39,5/1/2023,12:32 PM,,5.3,10.75,4.22,1.61,1,64.72
MV$Inbred-HIPS$Rep1$Plot125$Row54$Range16$A659,5/1/2023,12:33 PM,,5.87,11.07,3.84,2.09,0.95,60.65
MV$Inbred-HIPS$Rep1$Plot125$Row54$Range16$A659,5/1/2023,12:34 PM,,5.63,11.26,4.02,2.05,0.99,62.69
MV$Inbred-HIPS$Rep1$Plot125$Row54$Range16$A659,5/1/2023,12:35 PM,,5.71,10.99,4.13,2.24,0.97,62.49
MV$Inbred-HIPS$Rep2$Plot373$Row58$Range86$Ky226,5/1/2023,12:37 PM,,6.13,12.62,2.14,0.69,0.82,62.23
MV$Inbred-HIPS$Rep2$Plot373$Row58$Range86$Ky226,5/1/2023,12:38 PM,,6.78,12.55,2.28,0.88,0.93,60.74
MV$Inbred-HIPS$Rep2$Plot373$Row58$Range86$Ky226,5/1/2023,12:38 PM,,6.82,12.75,2.24,0.97,0.88,60.29
MV$Inbred-HIPS$Rep1$Plot200$Row54$Range25$B73,5/1/2023,12:40 PM,,5.35,9.6,3.5,1.31,1.1,62.58
MV$Inbred-HIPS$Rep1$Plot200$Row54$Range25$B73,5/1/2023,12:40 PM,,5.41,9.72,3.5,1.31,1.09,62.63
MV$Inbred-HIPS$Rep1$Plot200$Row54$Range25$B73,5/1/2023,12:41 PM,,5.53,9.77,3.53,1.31,1.08,62.76
MV$Inbred-HIPS$Rep1$Plot192$Row59$Range24$B73,5/1/2023,12:41 PM,,6.3,10.13,3.5,1.12,0.95,64.87
MV$Inbred-HIPS$Rep1$Plot192$Row59$Range24$B73,5/1/2023,12:42 PM,,6.3,10.13,3.53,1.12,0.94,64.84
MV$Inbred-HIPS$Rep1$Plot192$Row59$Range24$B73,5/1/2023,12:42 PM,,6.31,10.01,3.52,1.13,0.93,64.91
MV$Inbred-HIPS$Rep2$Plot363$Row55$Range85$B73,5/1/2023,12:43 PM,,6.19,10.27,3.9,1.39,0.95,64.44
MV$Inbred-HIPS$Rep2$Plot363$Row55$Range85$B73,5/1/2023,12:43 PM,,6.29,10.15,3.91,1.39,0.94,64.81
MV$Inbred-HIPS$Rep2$Plot363$Row55$Range85$B73,5/1/2023,12:43 PM,,6.28,10.32,3.92,1.39,0.94,64.84
MV$Inbred-HIPS$Rep2$Plot363$Row55$Range85$B73,5/1/2023,12:45 PM,,6.2,10.31,3.64,1.38,0.93,65
MV$Inbred-HIPS$Rep2$Plot361$Row53$Range85$38-11,5/1/2023,12:48 PM,,6.5,12.33,4.86,0.93,1.02,58.59
MV$Inbred-HIPS$Rep2$Plot361$Row53$Range85$38-11,5/1/2023,12:48 PM,,6.21,11.31,4.19,0.95,0.96,61.62
MV$Inbred-HIPS$Rep2$Plot361$Row53$Range85$38-11,5/1/2023,12:49 PM,,6.67,11.45,4.62,0.66,1.02,60.22
MV$Inbred-HIPS$Rep2$Plot361$Row53$Range85$38-11,5/1/2023,12:49 PM,,6.62,11.68,3.94,1.3,0.93,60.51
MV$Inbred-HIPS$Rep1$Plot369$Row61$Range43$A641,5/1/2023,12:51 PM,,6.21,13.35,4.58,0.32,1.11,59.94
MV$Inbred-HIPS$Rep1$Plot369$Row61$Range43$A641,5/1/2023,12:54 PM,,6.25,12.61,4.12,0.39,1.03,59.91
MV$Inbred-HIPS$Rep1$Plot369$Row61$Range43$A641,5/1/2023,12:55 PM,,6.2,12.92,4,0.61,1.02,59.99
MV$Inbred-HIPS$Rep1$Plot215$Row54$Range26$F118,5/1/2023,1:00 PM,,5.88,10.15,4.22,1.46,1,64.51
