Plot #,Schnable Row #,Schnable Range #,Weight (lb),Moisture (%),Test Weight (lb/bu),Correct Date/Time,# Ears Incorrectly Taken from the Middle 2 Rows
4001,2,2,12.04,12.8,59.2,10/23/23 13:55,0
4026,2,3,6.46,15.7,61.8,10/23/23 13:55,0
4051,2,4,13.22,12.5,55.5,10/23/23 13:55,0
4076,2,5,12.22,12.4,59.8,10/23/23 13:56,0
4101,2,6,10.45,9.23,53.2,10/23/23 13:56,0
4126,2,7,13.13,11.2,56.9,10/23/23 13:56,0
4151,2,8,10.52,10.3,56.2,10/23/23 13:57,0
4176,2,9,8.54,12.4,61.4,10/23/23 13:57,0
4201,2,10,9.66,13.2,60.8,10/23/23 13:57,0
4226,2,11,10.79,13.3,60.1,10/23/23 13:58,0
Border,2,12,16.04,14.4,61.3,10/23/23 13:58,0
5001,2,13,11.72,14.4,61.1,10/23/23 13:58,0
5026,2,14,12.8,12.7,59.8,10/23/23 13:58,0
5051,2,15,10.82,14.6,59,10/23/23 13:59,0
5076,2,16,11.87,15.7,60.8,10/23/23 13:59,0
5101,2,17,9.44,12.9,59,10/23/23 13:59,0
5126,2,18,8.66,12.1,56.9,10/23/23 14:00,0
5151,2,19,12.47,11.7,56.6,10/23/23 14:00,0
5176,2,20,9.61,12.2,60.6,10/23/23 14:00,0
5201,2,21,11.42,13.4,61.5,10/23/23 14:01,0
5226,2,22,13.44,13.1,60.2,10/23/23 14:01,0
Border,2,23,12.79,12.8,59.3,10/23/23 14:01,0
6001,2,24,14.98,13.8,60.2,10/23/23 14:01,0
6026,2,25,15.36,12.8,56.2,10/23/23 14:02,0
6051,2,26,12.41,10.2,54.4,10/23/23 14:02,0
6076,2,27,11.68,12.4,58,10/23/23 14:02,0
6101,2,28,11.49,16.7,61.2,10/23/23 14:03,0
6126,2,29,16.98,13.7,61.1,10/23/23 14:03,0
6151,2,30,11.87,11.9,57.4,10/23/23 14:03,0
6176,2,31,10.19,11.8,58,10/23/23 14:04,0
6201,2,32,8.61,11.6,58,10/23/23 14:04,0
6226,2,33,10.66,14.3,61.1,10/23/23 14:04,0
Border,2,34,17.92,13.4,59.2,10/23/23 14:05,0
Border,3,34,15.74,12.2,58.1,10/23/23 14:05,0
6227,3,33,9.9,11.3,57.3,10/23/23 14:05,0
6202,3,32,11.72,11.9,54.5,10/23/23 14:06,0
6177,3,31,10.36,10.6,55.9,10/23/23 14:06,0
6152,3,30,6.76,13.3,57.7,10/23/23 14:07,0
6127,3,29,14.26,12.1,60.1,10/23/23 14:07,0
6102,3,28,9.27,11.5,59.4,10/23/23 14:07,0
6077,3,27,13.93,15.5,60,10/23/23 14:08,0
6052,3,26,11.87,11.9,59.1,10/23/23 14:08,0
6027,3,25,11,11.7,57.4,10/23/23 14:08,0
6002,3,24,13.85,13.2,59.7,10/23/23 14:09,0
Border,3,23,12.62,13.1,59.3,10/23/23 14:09,0
5227,3,22,12.9,12.7,59.4,10/23/23 14:09,0
5202,3,21,9.87,14,59.2,10/23/23 14:09,0
5177,3,20,6.89,15,60.9,10/23/23 14:10,0
5152,3,19,7.52,13.7,58.3,10/23/23 14:10,0
5127,3,18,10.8,11.8,57.6,10/23/23 14:10,0
5102,3,17,11.74,10.4,55.9,10/23/23 14:11,0
5077,3,16,10.24,13.3,57.7,10/23/23 14:11,0
5052,3,15,11.94,12.4,59.1,10/23/23 14:11,0
5027,3,14,10.25,13.5,59.4,10/23/23 14:11,0
5002,3,13,11.64,13.7,60,10/23/23 14:12,0
Border,3,12,10.7,12.7,59,10/23/23 14:12,0
4227,3,11,4.34,0,0,10/23/23 14:12,0
4202,3,10,4.27,0,0,10/23/23 14:13,0
4177,3,9,2.17,0,0,10/23/23 14:13,0
4152,3,8,10.41,10.3,56.9,10/23/23 14:13,0
4127,3,7,7.68,12.3,57.7,10/23/23 14:14,0
4102,3,6,9.99,12.4,59.4,10/23/23 14:14,0
4077,3,5,10.92,15.2,60.1,10/23/23 14:14,0
4052,3,4,8.41,11.9,58,10/23/23 14:15,0
4027,3,3,8.33,9.36,52.3,10/23/23 14:15,0
4002,3,2,4.41,0,0,10/23/23 14:15,0
4003,4,2,14.13,13.6,59.1,10/23/23 14:16,3
4028,4,3,10.67,13.1,60.4,10/23/23 14:16,4
4053,4,4,10.37,14.2,58.8,10/23/23 14:16,4
4078,4,5,13.33,15.2,61.1,10/23/23 14:17,4
4103,4,6,12.49,13.2,61.1,10/23/23 14:17,4
4128,4,7,10.08,14,62.2,10/23/23 14:17,4
4153,4,8,4.88,17.3,52.1,10/23/23 14:18,4
4178,4,9,4.78,13.4,55.6,10/23/23 14:18,1
4203,4,10,5.06,18.6,53.8,10/23/23 14:18,4
4228,4,11,10.52,11.5,56.6,10/23/23 14:19,4
Border,4,12,19.15,13.1,60.1,10/23/23 14:19,0
5003,4,13,12.68,13.5,60,10/23/23 14:19,4
5028,4,14,10.01,13.2,60.5,10/23/23 14:20,4
5053,4,15,8.23,10.7,57.5,10/23/23 14:20,4
5078,4,16,8.22,12.1,58.7,10/23/23 14:20,4
5103,4,17,10.53,10.5,53.9,10/23/23 14:21,4
5128,4,18,10.47,12.4,59,10/23/23 14:21,4
5153,4,19,9.04,13.7,57.7,10/23/23 14:21,4
5178,4,20,11.1,9.58,53.9,10/23/23 14:22,4
5203,4,21,12.7,11.4,58,10/23/23 14:22,4
5228,4,22,14.95,12.7,59.5,10/23/23 14:22,4
Border,4,23,16.85,13.4,60.2,10/23/23 14:22,0
6003,4,24,16.93,12.9,60.2,10/23/23 14:23,4
6028,4,25,10.86,13.9,60.3,10/23/23 14:23,4
6053,4,26,9.81,14.2,59,10/23/23 14:23,4
6078,4,27,8.38,12.8,59.4,10/23/23 14:24,4
6103,4,28,12.22,10.1,53.6,10/23/23 14:24,4
6128,4,29,14.26,12.8,60.3,10/23/23 14:24,4
6153,4,30,8.04,13.1,59.4,10/23/23 14:25,4
6178,4,31,15.32,13.7,60.8,10/23/23 14:25,4
6203,4,32,12.51,12.6,60.9,10/23/23 14:25,4
6228,4,33,11.17,12.2,59.1,10/23/23 14:26,4
Border,4,34,13.29,12.2,57.9,10/23/23 14:26,0
Border,5,34,17.41,12.1,58,10/23/23 14:27,0
6229,5,33,11.17,15.9,60.3,10/23/23 14:27,0
6204,5,32,11.27,11.4,56.8,10/23/23 14:27,0
6179,5,31,14.63,14.6,59.7,10/23/23 14:28,0
6154,5,30,10.89,11.4,57.1,10/23/23 14:28,0
6129,5,29,16.35,12.8,60.6,10/23/23 14:28,0
6104,5,28,7.83,12.2,59.4,10/23/23 14:28,0
6079,5,27,11.45,13.7,60.6,10/23/23 14:29,0
6054,5,26,10.45,13.6,59.2,10/23/23 14:29,0
6029,5,25,12.79,9.98,53.4,10/23/23 14:29,0
6004,5,24,17.06,12.9,59.8,10/23/23 14:30,0
Border,5,23,17.38,13.2,60.3,10/23/23 14:30,0
5229,5,22,16.47,13,60.2,10/23/23 14:30,0
5204,5,21,10.17,10.8,57.1,10/23/23 14:31,0
5179,5,20,12.94,12.5,56.8,10/23/23 14:31,0
5154,5,19,11.23,11.4,56.9,10/23/23 14:31,0
5129,5,18,12.3,10.9,57.2,10/23/23 14:31,0
5104,5,17,9.76,15,61.4,10/23/23 14:32,0
5079,5,16,10.28,9.57,53.5,10/23/23 14:32,0
5054,5,15,9.39,9.44,53.4,10/23/23 14:32,0
5029,5,14,8.61,12.7,60.4,10/23/23 14:33,0
5004,5,13,13.47,13.6,60.7,10/23/23 14:33,0
Border,5,12,12.49,12.8,59.5,10/23/23 14:33,0
4229,5,11,9.95,12.8,61.1,10/23/23 14:33,0
4204,5,10,13.27,12.3,59.7,10/23/23 14:34,0
4179,5,9,11.44,11.3,56.1,10/23/23 14:34,0
4154,5,8,12.15,12,57.6,10/23/23 14:34,0
4129,5,7,14.67,14.7,59,10/23/23 14:35,0
4104,5,6,11.45,14.4,59.5,10/23/23 14:35,0
4079,5,5,8.7,11.9,59.1,10/23/23 14:35,0
4054,5,4,11.17,12.2,59.3,10/23/23 14:35,0
4029,5,3,11.22,10.3,54.4,10/23/23 14:36,0
4004,5,2,4.21,0,0,10/23/23 14:36,0
4005,6,2,11.24,13.2,59.8,10/23/23 14:44,0
4030,6,3,12.47,14.7,61.5,10/23/23 14:45,0
4055,6,4,12.59,12.5,59.4,10/23/23 14:45,0
4080,6,5,12.02,9.58,53.4,10/23/23 14:45,0
4105,6,6,11.66,12.6,57.9,10/23/23 14:46,0
4130,6,7,12.71,15.3,60,10/23/23 14:46,0
4155,6,8,11.78,9.78,54.7,10/23/23 14:46,0
4180,6,9,11.79,11.5,54.6,10/23/23 14:47,0
4205,6,10,10.54,10,55.6,10/23/23 14:47,0
4230,6,11,4.07,0,0,10/23/23 14:47,0
Border,6,12,18.33,12.4,59.4,10/23/23 14:47,0
5005,6,13,14.65,12.5,59.8,10/23/23 14:48,0
5030,6,14,10.47,9.3,52.8,10/23/23 14:48,0
5055,6,15,9.89,11.6,58.9,10/23/23 14:48,0
5080,6,16,10,12.1,59.4,10/23/23 14:49,0
5105,6,17,8.66,12,59.4,10/23/23 14:49,0
5130,6,18,8.56,11.7,59.4,10/23/23 14:49,0
5155,6,19,11.52,9.89,54.5,10/23/23 14:49,0
5180,6,20,11.66,9.7,53.1,10/23/23 14:50,0
5205,6,21,9.56,13.6,60.3,10/23/23 14:50,0
5230,6,22,11.99,12.3,59.4,10/23/23 14:50,0
Border,6,23,14.15,12.9,59,10/23/23 14:51,0
6005,6,24,14.33,12.6,59.1,10/23/23 14:51,0
6030,6,25,5.14,14.9,60.1,10/23/23 14:51,0
6055,6,26,9.92,11.8,57.9,10/23/23 14:51,0
6080,6,27,14.09,9.9,53.4,10/23/23 14:52,0
6105,6,28,8.48,9.49,53.3,10/23/23 14:52,0
6130,6,29,14.3,11.7,58.7,10/23/23 14:52,0
6155,6,30,15.75,10.6,55.9,10/23/23 14:53,0
6180,6,31,10.23,12,55.3,10/23/23 14:53,0
6205,6,32,13.57,11.7,58.2,10/23/23 14:53,0
6230,6,33,10.49,12.2,57.6,10/23/23 14:54,0
Border,6,34,12.48,12.1,57.6,10/23/23 14:54,0
Border,7,34,17.7,11.9,57.6,10/23/23 14:55,0
6231,7,33,13.62,11.9,57,10/23/23 14:55,0
6206,7,32,12.22,10.5,55.9,10/23/23 14:55,0
6181,7,31,9.71,13.5,58.7,10/23/23 14:55,0
6156,7,30,10.39,10.2,54.2,10/23/23 14:56,0
6131,7,29,13.75,12.4,59,10/23/23 14:56,0
6106,7,28,9.58,12.5,59,10/23/23 14:56,0
6081,7,27,11.64,11.7,55,10/23/23 14:56,0
6056,7,26,12.19,12.5,59.3,10/23/23 14:57,0
6031,7,25,10.87,9.79,52.4,10/23/23 14:57,0
6006,7,24,12.7,12.8,59.5,10/23/23 14:57,0
Border,7,23,11.55,13,59.8,10/23/23 14:58,0
5231,7,22,12.35,13.4,60,10/23/23 14:58,0
5206,7,21,10.64,12.6,61.1,10/23/23 14:58,0
5181,7,20,11.74,11.7,57.3,10/23/23 14:58,0
5156,7,19,9.94,10.2,54.1,10/23/23 14:59,0
5131,7,18,10.84,15.2,60.5,10/23/23 14:59,0
5106,7,17,10.99,12.3,54.6,10/23/23 14:59,0
5081,7,16,10.45,13.1,56.5,10/23/23 15:00,0
5056,7,15,8.87,11.3,56.2,10/23/23 15:00,0
5031,7,14,13.9,10.7,55.5,10/23/23 15:00,0
5006,7,13,16.9,13.6,60.3,10/23/23 15:00,0
Border,7,12,14.12,13.3,60,10/23/23 15:01,0
4231,7,11,7.32,13.7,59.4,10/23/23 15:01,0
4206,7,10,16.27,15.7,60.4,10/23/23 15:01,0
4181,7,9,11.99,10.2,53.3,10/23/23 15:02,0
4156,7,8,12.02,12.8,60.5,10/23/23 15:02,0
4131,7,7,6.43,11.4,53.5,10/23/23 15:02,0
4106,7,6,9.27,12.6,57.6,10/23/23 15:02,0
4081,7,5,13.3,10.8,54.8,10/23/23 15:03,0
4056,7,4,11.89,12.2,57.3,10/23/23 15:03,0
4031,7,3,10.37,10.9,55.9,10/23/23 15:03,0
4006,7,2,5.1,14.4,56.2,10/23/23 15:04,0
4007,8,2,12.5,11.1,55.9,10/23/23 15:05,0
4032,8,3,13.05,15.2,58.9,10/23/23 15:05,0
4057,8,4,12.22,16.4,60.1,10/23/23 15:06,0
4082,8,5,13.18,11.8,57.6,10/23/23 15:06,0
4107,8,6,8.41,13,58.3,10/23/23 15:06,0
4132,8,7,12.38,12,58.7,10/23/23 15:07,0
4157,8,8,6.13,11,58.3,10/23/23 15:07,0
4182,8,9,11.95,9.68,53.1,10/23/23 15:07,0
4207,8,10,2.06,0,0,10/23/23 15:07,0
4232,8,11,11.34,14.1,58.9,10/23/23 15:08,0
Border,8,12,12.78,12.4,58.9,10/23/23 15:08,0
5007,8,13,11.07,13.5,60.1,10/23/23 15:08,0
5032,8,14,10.57,13.4,57.9,10/23/23 15:09,0
5057,8,15,9.91,14.6,60.1,10/23/23 15:09,0
5082,8,16,8.21,13.5,58.2,10/23/23 15:09,0
5107,8,17,10.33,17.1,58.9,10/23/23 15:09,0
5132,8,18,11.55,11.4,57.6,10/23/23 15:10,0
5157,8,19,8.8,10.7,56,10/23/23 15:10,0
5182,8,20,8.97,12.8,58.8,10/23/23 15:10,0
5207,8,21,9.18,11.4,57.6,10/23/23 15:10,0
5232,8,22,14.78,13,60.1,10/23/23 15:11,0
Border,8,23,11.83,13.1,60.3,10/23/23 15:11,0
6007,8,24,15.13,13.3,60.7,10/23/23 15:11,0
6032,8,25,7.1,14,59.6,10/23/23 15:12,0
6057,8,26,12.16,10.8,55.5,10/23/23 15:12,0
6082,8,27,5.78,12.5,57.3,10/23/23 15:12,0
6107,8,28,8.05,12.4,59.2,10/23/23 15:12,0
6132,8,29,12.49,13.1,60.3,10/23/23 15:13,0
6157,8,30,8.32,12.5,59.3,10/23/23 15:13,0
6182,8,31,10.17,10.6,55.3,10/23/23 15:13,0
6207,8,32,11.17,9.29,52.9,10/23/23 15:14,0
6232,8,33,10.49,16.2,59.7,10/23/23 15:14,0
Border,8,34,15.66,12.7,59,10/23/23 15:14,0
Border,9,34,15.69,11.4,57.7,10/23/23 15:15,0
6233,9,33,14.5,12.5,58.7,10/23/23 15:17,4
6208,9,32,8.07,11.3,56.2,10/23/23 15:17,4
6183,9,31,9.87,11.8,57.6,10/23/23 15:17,4
6158,9,30,9.01,10.2,55.8,10/23/23 15:18,4
6133,9,29,12.32,12.5,59.1,10/23/23 15:18,4
6108,9,28,12.09,12.4,55.9,10/23/23 15:18,4
6083,9,27,7.42,11.1,56.7,10/23/23 15:19,4
6058,9,26,7.59,12.2,58,10/23/23 15:19,4
6033,9,25,10.3,11.1,54,10/23/23 15:19,4
6008,9,24,12.33,12.8,59.4,10/23/23 15:19,4
Border,9,23,13.92,13.4,60.5,10/23/23 15:20,0
5233,9,22,11.72,12.9,60.3,10/23/23 15:20,4
5208,9,21,8.8,11.7,57.7,10/23/23 15:20,4
5183,9,20,12.3,13.1,60,10/23/23 15:21,4
5158,9,19,11.14,13.7,60.2,10/23/23 15:21,4
5133,9,18,14.18,13.5,60.4,10/23/23 15:21,4
5108,9,17,8.32,14.3,56.7,10/23/23 15:22,4
5083,9,16,12.15,10.4,55.3,10/23/23 15:22,4
5058,9,15,6.6,11.9,58.6,10/23/23 15:22,4
5033,9,14,10.96,14.4,59.2,10/23/23 15:23,4
5008,9,13,16.19,13.5,60.7,10/23/23 15:23,4
Border,9,12,15.05,13.5,60.1,10/23/23 15:23,4
4233,9,11,12.56,11.3,57.8,10/23/23 15:24,4
4208,9,10,9.85,16.3,60.7,10/23/23 15:24,4
4183,9,9,8.47,11.6,57.6,10/23/23 15:24,4
4158,9,8,3.13,0,0,10/23/23 15:24,4
4133,9,7,10.06,16.3,59.1,10/23/23 15:25,4
4108,9,6,10.76,10.7,56.4,10/23/23 15:25,4
4083,9,5,9.57,12.9,56.2,10/23/23 15:25,4
4058,9,4,12.42,12.3,59.7,10/23/23 15:26,4
4033,9,3,10.48,13.7,57.4,10/23/23 15:26,4
4008,9,2,7,12.6,60.1,10/23/23 15:26,4
4009,10,2,13.93,11.3,57.3,10/23/23 15:30,0
4034,10,3,10.63,10.1,54.4,10/23/23 15:30,0
4059,10,4,11.96,12.8,55.9,10/23/23 15:31,0
4084,10,5,7.13,10.3,52.9,10/23/23 15:31,0
4109,10,6,10.73,13.8,59,10/23/23 15:31,0
4134,10,7,7.15,13.7,57.8,10/23/23 15:32,0
4159,10,8,12.5,13.6,58,10/23/23 15:32,0
4184,10,9,16.08,11.1,56.6,10/23/23 15:32,0
4209,10,10,12.96,11.5,56.1,10/23/23 15:33,0
4234,10,11,10.77,10.4,55.2,10/23/23 15:33,0
Border,10,12,14.68,13,59.3,10/23/23 15:33,0
5009,10,13,13.51,13.1,59.8,10/23/23 15:34,0
5034,10,14,10.62,14.1,59.7,10/23/23 15:34,0
5059,10,15,13.54,9.37,52.8,10/23/23 15:34,0
5084,10,16,11.43,9.89,54.8,10/23/23 15:35,0
5109,10,17,10.32,10.1,53.8,10/23/23 15:35,0
5134,10,18,15.45,12.5,59.4,10/23/23 15:35,0
5159,10,19,11.67,15.2,59.2,10/23/23 15:36,0
5184,10,20,11.63,12.4,59.1,10/23/23 15:36,0
5209,10,21,8.21,13.7,59.2,10/23/23 15:36,0
5234,10,22,11.64,12.7,59.3,10/23/23 15:37,0
Border,10,23,13.72,12.6,59.7,10/23/23 15:37,0
6009,10,24,10.31,12.2,58.8,10/23/23 15:37,0
6034,10,25,9.07,13.4,57.1,10/23/23 15:38,0
6059,10,26,7.24,11,56.7,10/23/23 15:38,0
6084,10,27,10.39,9.89,54.6,10/23/23 15:38,0
6109,10,28,9.31,12.6,60.3,10/23/23 15:38,0
6134,10,29,12.14,12.4,59.1,10/23/23 15:39,0
6159,10,30,11.94,10,54.2,10/23/23 15:39,0
6184,10,31,8.87,11.8,59.9,10/23/23 15:39,0
6209,10,32,4.8,11.6,57.2,10/23/23 15:39,0
6234,10,33,15.87,13.5,60.2,10/23/23 15:40,0
Border,10,34,17.82,13.5,59.1,10/23/23 15:40,0
Border,11,34,14.46,10.8,56.6,10/23/23 15:41,0
6235,11,33,9.66,12.1,58.7,10/23/23 15:41,0
6210,11,32,10.81,10.2,55.2,10/23/23 15:41,0
6185,11,31,10.31,10.9,56.7,10/23/23 15:42,0
6160,11,30,8.07,11.6,56.2,10/23/23 15:42,0
6135,11,29,11.55,12.3,58.8,10/23/23 15:42,0
6110,11,28,12.58,13.1,58.6,10/23/23 15:42,0
6085,11,27,5.93,11.9,56.6,10/23/23 15:43,0
6060,11,26,7.83,12.8,59.8,10/23/23 15:43,0
6035,11,25,9.5,15.4,60.8,10/23/23 15:43,0
6010,11,24,15.26,12.9,59.8,10/23/23 15:43,0
Border,11,23,13.87,13.2,60.1,10/23/23 15:44,0
5235,11,22,12.85,13.5,60.5,10/23/23 15:44,0
5210,11,21,9.48,12.4,58.8,10/23/23 15:44,0
5185,11,20,10.86,11.1,56.4,10/23/23 15:45,0
5160,11,19,8.64,15,60.7,10/23/23 15:45,0
5135,11,18,11.87,13.2,59.4,10/23/23 15:45,0
5110,11,17,6.8,15.3,60.4,10/23/23 15:45,0
5085,11,16,8.42,12.2,59.7,10/23/23 15:46,0
5060,11,15,8.79,13.1,59.2,10/23/23 15:46,0
5035,11,14,8.59,12.4,59.8,10/23/23 15:46,0
5010,11,13,15.64,13.9,60.6,10/23/23 15:47,0
Border,11,12,13.9,13.4,60.2,10/23/23 15:47,0
4235,11,11,8.44,12.2,55,10/23/23 15:47,0
4210,11,10,9.07,11.8,55.2,10/23/23 15:47,0
4185,11,9,12.46,12.1,57.5,10/23/23 15:48,0
4160,11,8,12.99,11.4,56.6,10/23/23 15:48,0
4135,11,7,6.42,11.1,55.6,10/23/23 15:48,0
4110,11,6,10.67,9.68,54.1,10/23/23 15:49,0
4085,11,5,12.97,14.5,59.2,10/23/23 15:49,0
4060,11,4,10.51,12,58.8,10/23/23 15:49,0
4035,11,3,11.28,9.49,53.5,10/23/23 15:50,0
4010,11,2,10.15,10.8,56.9,10/23/23 15:50,0
4011,12,2,17.39,10.6,55.9,10/23/23 15:50,0
4036,12,3,6.67,11.2,58.8,10/23/23 15:51,0
4061,12,4,10.09,12.1,59.4,10/23/23 15:51,0
4086,12,5,13.18,13.7,59.2,10/23/23 15:51,0
4111,12,6,8.6,12.3,53.1,10/23/23 15:52,0
4136,12,7,15.29,9.7,54.8,10/23/23 15:52,0
4161,12,8,11.01,9.75,54.1,10/23/23 15:52,0
4186,12,9,10.67,10.6,55.9,10/23/23 15:53,0
4211,12,10,4.3,0,0,10/23/23 15:53,0
4236,12,11,15.52,13.1,60.3,10/23/23 15:53,0
Border,12,12,14.45,13.3,59.9,10/23/23 15:53,0
5011,12,13,14.29,13.5,59.9,10/23/23 15:54,0
5036,12,14,13.32,12.6,58.3,10/23/23 15:54,0
5061,12,15,11.29,12.4,59.6,10/23/23 15:54,0
5086,12,16,16.24,13.5,56.2,10/23/23 15:55,0
5111,12,17,11.88,12.8,61.5,10/23/23 15:55,0
5136,12,18,15.23,13.6,60.9,10/23/23 15:55,0
5161,12,19,12.71,14.8,60.8,10/23/23 15:56,0
5186,12,20,11.11,10.3,54.5,10/23/23 15:56,0
5211,12,21,11.6,10.7,56.6,10/23/23 15:56,0
5236,12,22,12.38,13.4,59.8,10/23/23 15:57,0
Border,12,23,12.41,12.9,59,10/23/23 15:57,0
6011,12,24,16.07,12.6,59.7,10/23/23 15:57,0
6036,12,25,9.9,18,58.7,10/23/23 15:57,0
6061,12,26,9.31,13.5,58.9,10/23/23 15:58,0
6086,12,27,13.6,10.8,56,10/23/23 15:58,0
6111,12,28,12.43,11.7,56.5,10/23/23 15:58,0
6136,12,29,15.32,12.5,60.3,10/23/23 15:59,0
6161,12,30,9.84,13.5,55.9,10/23/23 15:59,0
6186,12,31,13.62,11.9,58.3,10/23/23 15:59,0
6211,12,32,12.87,10.8,56.6,10/23/23 16:00,0
6236,12,33,17.27,13.2,60.4,10/23/23 16:00,0
Border,12,34,12.5,12.6,57.8,10/23/23 16:00,0
Border,13,34,16.89,12.1,58,10/23/23 16:01,0
6237,13,33,14.94,12.9,60.2,10/23/23 16:01,4
6212,13,32,10.92,14.9,60.6,10/23/23 16:01,4
6187,13,31,8.39,12,54.4,10/23/23 16:02,4
6162,13,30,10.37,14,59.9,10/23/23 16:02,4
6137,13,29,13.47,12.9,59,10/23/23 16:02,4
6112,13,28,8.29,11.9,58.4,10/23/23 16:03,4
