loc,row,range,genotype,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,plot,qr,nLvl,field,rep,population,irrigation,earLen,earFillLen,earWidth,shelledCobWidth,shelledCobWt,kernelsPerEar,hundredKernelWt,pctMoistureEarPhenotyping,kernelMass,kernelColor,kernelStriping
North Platte1,1,1,2FACC X 3IIH6,72.14,9.69,3.81,0.45,0.93,1,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT1$ROW1$RANGE1$2FACC X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,15.6,13.5,4,2.6,20.4,20.4,27.7,4.9,129,yellow,N
North Platte1,1,2,PHK56 X 3IIH6,70.3,7.44,3.11,0.73,0.87,17,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT17$ROW1$RANGE2$PHK56 X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,16,15.1,4.1,3,16.3,16.3,26.3,4.4,119.3,yellow,N
North Platte1,1,3,WF9 X H95,69.32,11.54,4.23,0.89,0.89,33,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT33$ROW1$RANGE3$WF9 X H95,Low,Hybrid HIPS,1,Hybrid,Full,15.4,14.5,4.2,3,22.6,22.6,26.1,4.3,118.6,yellow,N
North Platte1,1,4,PHP02 X LH145,69.41,11.48,3.96,0.9,0.94,49,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT49$ROW1$RANGE4$PHP02 X LH145,Low,Hybrid HIPS,1,Hybrid,Full,18.8,15.5,4.1,3.2,22.7,22.7,27.1,4.2,116.1,yellow,N
North Platte1,1,5,B73 X PHZ51,71.07,9.03,4.04,0.86,0.91,65,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT65$ROW1$RANGE5$B73 X PHZ51,Low,Hybrid HIPS,1,Hybrid,Full,15.5,14.2,4,2.5,24,24,26.8,NA,130.8,yellow,N
North Platte1,1,6,PHW52 X PHM49,70.58,9.61,4.09,0.56,0.84,81,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT81$ROW1$RANGE6$PHW52 X PHM49,Low,Hybrid HIPS,1,Hybrid,Full,17,13.9,4.1,2.2,18.4,18.4,32.2,3.9,130.6,yellow,N
North Platte1,1,7,B14A X MO17,68.04,8.89,4.36,1.27,1.03,97,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT97$ROW1$RANGE7$B14A X MO17,Low,Hybrid HIPS,1,Hybrid,Full,17,16.1,4.2,2.9,19.2,19.2,29.4,4.6,140.8,yellow,N
North Platte1,1,8,2369 X PHP02,68.79,10.73,4.2,1.08,1.07,113,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT113$ROW1$RANGE8$2369 X PHP02,Low,Hybrid HIPS,1,Hybrid,Full,16.8,15.6,4.2,3,23.9,23.9,29.6,4.6,138.3,yellow,N
North Platte1,1,9,LH185 X LH145,70.97,10.16,3.54,0.77,0.76,129,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT129$ROW1$RANGE9$LH185 X LH145,Low,Hybrid HIPS,1,Hybrid,Full,17.5,16.6,4,2.5,18.2,18.2,30.1,3.9,128.7,orange,N
North Platte1,1,10,PHB47 X PHK56,68.39,9.87,3.85,1.29,1.11,145,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT145$ROW1$RANGE10$PHB47 X PHK56,Low,Hybrid HIPS,1,Hybrid,Full,17.9,15.6,4.5,2.9,24.4,24.4,32.1,4.8,184.3,yellow,N
North Platte1,1,11,PHK56 X LH145,68.72,10.03,3.78,0.78,1.01,161,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT161$ROW1$RANGE11$PHK56 X LH145,Low,Hybrid HIPS,1,Hybrid,Full,16.2,13.4,4.4,2.5,20.5,20.5,29.9,4.6,147.3,yellow,N
North Platte1,1,13,PIONEER P0589 AMXT,68.37,10.58,3.59,1.07,1.03,177,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT177$ROW1$RANGE13$PIONEER P0589 AMXT,Medium,Hybrid HIPS,1,Hybrid,Full,17.2,14.1,4.2,2.5,23,23,33.4,4.1,152.7,yellow,N
North Platte1,1,14,PHP02 X PHK56,68.88,10.67,4.69,1.14,1.04,193,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT193$ROW1$RANGE14$PHP02 X PHK56,Medium,Hybrid HIPS,1,Hybrid,Full,14.5,14.1,4,2.2,20.2,20.2,31.2,NA,98.5,yellow,N
North Platte1,1,15,PHK76 X 3IIH6,71.03,8.83,4.31,0.39,0.9,209,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT209$ROW1$RANGE15$PHK76 X 3IIH6,Medium,Hybrid HIPS,1,Hybrid,Full,16.9,16.2,3.8,2.5,17.9,17.9,27.8,NA,131.8,yellow,N
North Platte1,1,16,PHP02 X W606S,70.16,9.87,4.11,0.77,0.78,225,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT225$ROW1$RANGE16$PHP02 X W606S,Medium,Hybrid HIPS,1,Hybrid,Full,17,14.1,3.9,2.6,19.4,19.4,31,4.6,87.6,orange,N
North Platte1,1,17,LH82 X W606S,70.25,9.94,4.74,0.79,1.08,241,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT241$ROW1$RANGE17$LH82 X W606S,Medium,Hybrid HIPS,1,Hybrid,Full,17.5,16.1,3.6,2.6,21.8,21.8,24.1,NA,120.7,orange,N
North Platte1,1,18,PHK56 X LH82,68.96,10.67,4.93,0.66,1.04,257,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT257$ROW1$RANGE18$PHK56 X LH82,Medium,Hybrid HIPS,1,Hybrid,Full,14.6,13.5,4.5,2.9,21.4,21.4,27.8,4.1,133.4,yellow,N
North Platte1,1,19,LH123HT X PHB47,69.21,12.11,3.71,1.53,0.76,273,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT273$ROW1$RANGE19$LH123HT X PHB47,Medium,Hybrid HIPS,1,Hybrid,Full,19,18.2,3.9,2.6,25,25,30.1,NA,148.3,yellow,N
North Platte1,1,20,LH185 X W606S,69.53,10.04,3.88,1.21,0.78,289,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT289$ROW1$RANGE20$LH185 X W606S,Medium,Hybrid HIPS,1,Hybrid,Full,20.1,19.1,3.9,2.9,25.8,25.8,36.5,NA,129.7,orange,N
North Platte1,1,21,PHN46 X PHK56,69.68,9.95,3.48,0.82,0.9,305,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT305$ROW1$RANGE21$PHN46 X PHK56,Medium,Hybrid HIPS,1,Hybrid,Full,13.5,12.5,4.4,2.5,18.8,18.8,31.2,5.1,129.2,yellow,N
North Platte1,1,23,PHP02 X PHG47,69.55,9.59,4.67,0.5,1.03,337,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT337$ROW1$RANGE23$PHP02 X PHG47,Medium,Hybrid HIPS,1,Hybrid,Full,15.8,13.8,4.1,2.5,16.3,16.3,28,NA,116,yellow,N
North Platte1,1,25,B14A X MO17,72.63,8.73,3.71,1.86,1.17,353,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT353$ROW1$RANGE25$B14A X MO17,High,Hybrid HIPS,1,Hybrid,Full,17.2,16.9,4.4,2.8,21.3,21.3,30.1,NA,168.8,yellow,N
North Platte1,1,26,LH195 X LH185,71.77,9.52,4.15,0.65,0.87,369,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT369$ROW1$RANGE26$LH195 X LH185,High,Hybrid HIPS,1,Hybrid,Full,16.5,16.1,4.4,2.5,20.5,20.5,32.9,4.3,162,yellow,N
North Platte1,1,27,2369 X PHP02,70.65,10.56,3.44,0.81,0.92,385,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT385$ROW1$RANGE27$2369 X PHP02,High,Hybrid HIPS,1,Hybrid,Full,17.1,15.2,4.4,3,23.7,23.7,28.8,4.3,135.6,yellow,N
North Platte1,1,28,B73 X PHZ51,71.7,9.57,3.77,0.51,0.78,401,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT401$ROW1$RANGE28$B73 X PHZ51,High,Hybrid HIPS,1,Hybrid,Full,17,15.9,4.5,3,25.6,25.6,28.9,3.6,156.2,yellow,N
North Platte1,1,29,B37 X H95,67.51,11.41,4.62,1.37,0.92,417,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT417$ROW1$RANGE29$B37 X H95,High,Hybrid HIPS,1,Hybrid,Full,14.4,13.6,3.8,2.6,24.9,24.9,25.5,4.3,115.6,yellow,N
North Platte1,1,30,LH195 X 3IIH6,69.74,9.14,3.72,0.58,1.05,433,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT433$ROW1$RANGE30$LH195 X 3IIH6,High,Hybrid HIPS,1,Hybrid,Full,18.1,16,4.4,2.5,21.4,21.4,25.6,NA,159.3,yellow,N
North Platte1,1,31,WF9 X H95,68.44,13.15,3.97,0.6,0.89,449,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT449$ROW1$RANGE31$WF9 X H95,High,Hybrid HIPS,1,Hybrid,Full,13.5,11.9,3.6,2.5,20.4,20.4,27.9,4.9,105.8,yellow,N
North Platte1,1,32,B37 X MO17,66.35,12.05,3.33,1.75,1.03,465,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT465$ROW1$RANGE32$B37 X MO17,High,Hybrid HIPS,1,Hybrid,Full,19,17.4,4.5,3.1,32.6,32.6,34.1,4.8,159.2,yellow,N
North Platte1,1,33,LH123HT X 3IIH6,70.6,9.88,4.67,0.72,0.91,481,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT481$ROW1$RANGE33$LH123HT X 3IIH6,High,Hybrid HIPS,1,Hybrid,Full,17.6,16,4,2.9,23.4,23.4,29.4,5.2,147.7,yellow,N
North Platte1,1,34,PHN46 X PHB47,72.05,8.96,3.39,0.8,0.71,497,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT497$ROW1$RANGE34$PHN46 X PHB47,High,Hybrid HIPS,1,Hybrid,Full,18,16,4,2.2,23.2,23.2,32.7,4.4,121.7,yellow,N
North Platte1,2,1,LH198 X PHZ51,69.45,11.91,3.79,1.08,0.76,2,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT2$ROW2$RANGE1$LH198 X PHZ51,Low,Hybrid HIPS,1,Hybrid,Full,12.6,11.2,3.4,2,16.6,16.6,28.2,3.3,91.3,yellow,N
North Platte1,2,2,PHK76 X W606S,71.04,8.66,4.47,0.04,0.75,18,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT18$ROW2$RANGE2$PHK76 X W606S,Low,Hybrid HIPS,1,Hybrid,Full,16.6,15.5,3.6,2.8,21.6,21.6,30.3,4.3,117.2,orange,N
North Platte1,2,3,LH185 X W606S,71.04,9.19,4.24,0.58,0.68,34,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT34$ROW2$RANGE3$LH185 X W606S,Low,Hybrid HIPS,1,Hybrid,Full,19.9,18.9,4.1,2.8,23.6,23.6,32.3,4.2,141.4,red,N
North Platte1,2,4,2369 X LH123HT,68.23,11.75,3.71,1.51,0.8,50,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT50$ROW2$RANGE4$2369 X LH123HT,Low,Hybrid HIPS,1,Hybrid,Full,16.1,15.1,4.1,3,23.8,23.8,25.9,3.9,99.9,yellow,N
North Platte1,2,5,LH195 X 3IIH6,68.99,9.36,4.22,0.54,1.12,66,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT66$ROW2$RANGE5$LH195 X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,16.5,14.8,3.8,2.1,18.6,18.6,27.6,NA,142.3,yellow,N
North Platte1,2,6,LH195 X PHZ51,71.98,9.27,4.1,0.41,0.87,82,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT82$ROW2$RANGE6$LH195 X PHZ51,Low,Hybrid HIPS,1,Hybrid,Full,15.9,15.4,3.6,2.4,21.6,21.6,28.5,3.8,118.1,yellow,N
North Platte1,2,7,N209 X 3IIH6,68.43,8.74,4,0.93,1,98,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT98$ROW2$RANGE7$N209 X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,16.9,15.9,4.2,3,17.9,17.9,27.8,4.4,128.2,yellow,N
North Platte1,2,8,B37 X H95,66.54,12.9,4.4,1.32,0.9,114,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT114$ROW2$RANGE8$B37 X H95,Low,Hybrid HIPS,1,Hybrid,Full,12,10.5,3.8,2.4,14,14,20.7,5,76.3,yellow,N
North Platte1,2,9,4N506 X 3IIH6,67.48,9.46,5.01,0.28,1.06,130,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT130$ROW2$RANGE9$4N506 X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,18.1,15.5,4.4,2.9,22.6,22.6,28.7,6.3,144,yellow,N
North Platte1,2,10,PIONEER 1311 AMXT,71.16,10.27,3.66,0.45,0.77,146,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT146$ROW2$RANGE10$PIONEER 1311 AMXT,Low,Hybrid HIPS,1,Hybrid,Full,15.9,13.1,4.4,2.8,22.4,22.4,31.7,4,120.3,yellow,N
North Platte1,2,11,LH123HT X 3IIH6,70.59,9.92,3.78,0.92,0.85,162,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT162$ROW2$RANGE11$LH123HT X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,17.2,16.5,4.1,2.6,21.7,21.7,26.8,5,132,yellow,N
North Platte1,2,13,LH195 X PHM49,71.47,9.88,3.88,0.62,0.93,178,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT178$ROW2$RANGE13$LH195 X PHM49,Medium,Hybrid HIPS,1,Hybrid,Full,16.5,15.5,4.1,3,22.1,22.1,31.5,4.2,156.8,yellow,N
North Platte1,2,14,LH195 X LH123HT,70.11,10.29,3.52,1.05,0.92,194,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT194$ROW2$RANGE14$LH195 X LH123HT,Medium,Hybrid HIPS,1,Hybrid,Full,17.9,17.4,4,2.6,26.3,26.3,27.8,NA,163.7,yellow,N
North Platte1,2,15,2FACC X 3IIH6,68.39,9.18,3.5,0.93,1.09,210,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT210$ROW2$RANGE15$2FACC X 3IIH6,Medium,Hybrid HIPS,1,Hybrid,Full,16,14.8,4.5,2.9,21.2,21.2,30,NA,106.8,yellow,N
North Platte1,2,16,LH195 X PHZ51,71.78,9.14,3.9,0.47,0.86,226,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT226$ROW2$RANGE16$LH195 X PHZ51,Medium,Hybrid HIPS,1,Hybrid,Full,17.2,15.2,4,2.5,25.6,25.6,28.8,4.5,140.8,yellow,N
North Platte1,2,17,PHP02 X LH145,65.95,12.63,4.63,1.35,1.1,242,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT242$ROW2$RANGE17$PHP02 X LH145,Medium,Hybrid HIPS,1,Hybrid,Full,17.4,15.5,4.2,2.6,20.9,20.9,29.8,NA,114.1,yellow,N
North Platte1,2,18,HOEGEMEYER 7089 AMXT,70.47,9.96,3.77,0.88,0.92,258,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT258$ROW2$RANGE18$HOEGEMEYER 7089 AMXT,Medium,Hybrid HIPS,1,Hybrid,Full,18.1,15.9,4,2.5,22.1,22.1,35.9,4.1,160.1,yellow,N
North Platte1,2,19,LH185 X LH82,70.55,10.08,4.52,0.74,0.98,274,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT274$ROW2$RANGE19$LH185 X LH82,Medium,Hybrid HIPS,1,Hybrid,Full,18.5,17.1,4.4,2.9,18.9,18.9,30.9,NA,161.2,yellow,N
North Platte1,2,20,PHP02 X LH185,67.92,10.78,3.63,1.34,1.01,290,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT290$ROW2$RANGE20$PHP02 X LH185,Medium,Hybrid HIPS,1,Hybrid,Full,20.5,20,5,3,31.4,31.4,38.6,NA,216.8,yellow,N
North Platte1,2,21,PHP02 X LH198,70.42,11.12,3.6,1.08,0.84,306,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT306$ROW2$RANGE21$PHP02 X LH198,Medium,Hybrid HIPS,1,Hybrid,Full,15.4,14,4.5,3.1,27,27,32.8,4.2,135.3,yellow,N
North Platte1,2,22,PHK56 X PHJ89,71.03,10.31,4.07,0.46,0.9,322,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT322$ROW2$RANGE22$PHK56 X PHJ89,Medium,Hybrid HIPS,1,Hybrid,Full,18,17.1,4.4,3,30.6,30.6,26.2,4.4,170.3,yellow,N
North Platte1,2,23,PIONEER 1311 AMXT,70.74,10.08,3.37,0.85,0.75,338,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT338$ROW2$RANGE23$PIONEER 1311 AMXT,Medium,Hybrid HIPS,1,Hybrid,Full,17.6,14.6,4.4,2.8,27.6,27.6,30.6,NA,139.5,yellow,N
North Platte1,2,25,2369 X PHZ51,70.01,10.44,4.14,0.62,0.99,354,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT354$ROW2$RANGE25$2369 X PHZ51,High,Hybrid HIPS,1,Hybrid,Full,16,14.8,4.1,2.6,22.8,22.8,28.5,NA,133.3,yellow,N
North Platte1,2,26,PHK76 X W606S,71.16,8.98,4.19,0.43,0.79,370,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT370$ROW2$RANGE26$PHK76 X W606S,High,Hybrid HIPS,1,Hybrid,Full,17,15.2,3.9,2.6,21.3,21.3,30.8,4.5,122.5,red,N
North Platte1,2,27,B73 X MO17,67.24,11.65,3.17,1.32,1.04,386,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT386$ROW2$RANGE27$B73 X MO17,High,Hybrid HIPS,1,Hybrid,Full,16.9,15.2,4.2,3,21.5,21.5,29.8,4.8,147.9,yellow,N
North Platte1,2,28,2369 X LH123HT,70.61,10.4,4,1.03,0.83,402,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT402$ROW2$RANGE28$2369 X LH123HT,High,Hybrid HIPS,1,Hybrid,Full,16.2,15.1,4.5,3,24.3,24.3,31.6,3.8,130.7,yellow,N
North Platte1,2,29,PHN46 X PHK56,69.92,9.63,3.47,0.85,0.96,418,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT418$ROW2$RANGE29$PHN46 X PHK56,High,Hybrid HIPS,1,Hybrid,Full,14.9,13.8,4.4,2.5,20.6,20.6,29.7,5.2,148.7,yellow,N
North Platte1,2,30,HOEGEMEYER 8065RR,71.42,9.54,4.09,0.42,1.02,434,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT434$ROW2$RANGE30$HOEGEMEYER 8065RR,High,Hybrid HIPS,1,Hybrid,Full,17,15.4,4.5,2.5,19.1,19.1,33.6,NA,182.4,yellow,N
North Platte1,2,31,2FACC X 3IIH6,68.47,9.38,4.06,0.96,1.04,450,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT450$ROW2$RANGE31$2FACC X 3IIH6,High,Hybrid HIPS,1,Hybrid,Full,17.2,15.8,4.9,3,24.4,24.4,31.8,4.7,154.3,yellow,N
North Platte1,2,32,PHG39 X PHN82,71.95,8.81,4.43,0.3,0.81,466,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT466$ROW2$RANGE32$PHG39 X PHN82,High,Hybrid HIPS,1,Hybrid,Full,19.1,17,4.1,2.9,22.4,22.4,28.6,4.5,152.2,yellow,N
North Platte1,2,33,PHW52 X PHM49,69.64,11.34,4.56,1.06,1.01,482,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT482$ROW2$RANGE33$PHW52 X PHM49,High,Hybrid HIPS,1,Hybrid,Full,16.1,14,4.1,2.5,14.3,14.3,31.5,4.8,108.5,yellow,N
North Platte1,2,34,B73 X PHM49,69.24,9.32,3.45,0.9,0.99,498,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT498$ROW2$RANGE34$B73 X PHM49,High,Hybrid HIPS,1,Hybrid,Full,17.1,16.4,4.4,2.5,26.5,26.5,28.6,4.2,194.2,yellow,N
North Platte1,2,35,LH185 X LH82,69.4,10.34,2.41,1.35,0.95,514,NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP1$PLOT514$ROW2$RANGE35$LH185 X LH82,High,Hybrid HIPS,1,Hybrid,Full,18.1,16.5,4.5,2.5,29.5,29.5,31.1,4.4,203.2,yellow,N
North Platte1,3,1,B37 X OH43,67.43,12.56,3.7,1.49,0.81,3,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT3$ROW3$RANGE1$B37 X OH43,Low,Hybrid HIPS,1,Hybrid,Full,12.6,11.1,3.6,2.4,15.5,15.5,24,6.4,61.8,yellow,N
North Platte1,3,2,PHP02 X PHB47,67.82,10.44,3.21,1.29,0.95,19,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT19$ROW3$RANGE2$PHP02 X PHB47,Low,Hybrid HIPS,1,Hybrid,Full,17.5,14.1,4.6,3,23.8,23.8,31.5,4.3,136,yellow,N
North Platte1,3,3,LH82 X PHB47,71.35,10.05,4.33,0.5,0.88,51,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT51$ROW3$RANGE3$LH82 X PHB47,Low,Hybrid HIPS,1,Hybrid,Full,17.1,14,3.9,2.6,20.2,20.2,22.6,4.5,118.3,yellow,N
North Platte1,3,4,PHN46 X W606S,73.08,8.54,4.05,0.02,0.76,67,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT67$ROW3$RANGE4$PHN46 X W606S,Low,Hybrid HIPS,1,Hybrid,Full,16,14.1,4.5,2.9,20.3,20.3,30.8,4.5,133.5,yellow,N
North Platte1,3,5,SYNGENTA NK0760-3111,67.74,9.71,3.55,1.36,1.16,83,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT83$ROW3$RANGE5$SYNGENTA NK0760-3111,Low,Hybrid HIPS,1,Hybrid,Full,17,15,4,2.5,20,20,32.2,NA,148.8,yellow,N
North Platte1,3,6,LH145 X LH162,71.92,9.26,3.94,0.06,0.79,99,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT99$ROW3$RANGE6$LH145 X LH162,Low,Hybrid HIPS,1,Hybrid,Full,16,13.1,3.7,2.4,18.1,18.1,29.3,4.2,99.6,orange,N
North Platte1,3,7,LH74 X PHN82,69.43,9.31,3.42,0.75,0.88,115,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT115$ROW3$RANGE7$LH74 X PHN82,Low,Hybrid HIPS,1,Hybrid,Full,16.1,14.5,4.4,3,21.3,21.3,31.7,4.2,139.5,yellow,N
North Platte1,3,8,B105 X 3IIH6,72.07,8.13,4.62,0.3,0.89,131,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT131$ROW3$RANGE8$B105 X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,17.6,15,4,2.9,14.6,14.6,26.8,4.9,109.2,yellow,N
North Platte1,3,9,PHP02 X W606S,71.76,9.99,3.71,0.83,0.8,147,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT147$ROW3$RANGE9$PHP02 X W606S,Low,Hybrid HIPS,1,Hybrid,Full,16.9,14.5,4.2,3.1,19.8,19.8,31.9,4.7,118.7,orange,N
North Platte1,3,13,LH74 X PHN82,69.8,10.11,3.64,0.67,0.89,179,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT179$ROW3$RANGE13$LH74 X PHN82,Medium,Hybrid HIPS,1,Hybrid,Full,17.1,15.9,4.2,3,24,24,31.2,4.3,160.1,yellow,N
North Platte1,3,14,PHW52 X PHN82,71.88,9.24,4.59,0.12,0.92,195,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT195$ROW3$RANGE14$PHW52 X PHN82,Medium,Hybrid HIPS,1,Hybrid,Full,17.9,15.4,4.5,2.9,23.6,23.6,33,NA,168.1,yellow,N
North Platte1,3,15,B84 X 3IIH6,68.35,8.93,3.72,1.45,1.08,211,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT211$ROW3$RANGE15$B84 X 3IIH6,Medium,Hybrid HIPS,1,Hybrid,Full,18.4,16.8,4.6,2.6,23.5,23.5,32,NA,163.9,yellow,N
North Platte1,3,16,B73 X PHN82,71.61,8.93,4.23,0.37,0.81,227,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT227$ROW3$RANGE16$B73 X PHN82,Medium,Hybrid HIPS,1,Hybrid,Full,15.2,12.8,4,2.5,26.6,26.6,31.9,4.5,139.6,yellow,N
North Platte1,3,17,PHK76 X W606S,69.84,9.19,4.36,0.63,0.94,243,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT243$ROW3$RANGE17$PHK76 X W606S,Medium,Hybrid HIPS,1,Hybrid,Full,17.1,16.1,3.9,2.9,21.7,21.7,28.9,NA,126.2,orange,N
North Platte1,3,18,LH195 X 3IIH6,68.75,9.27,3.47,1.01,1.13,259,NORTH PLATTE$HIPS - FULL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT259$ROW3$RANGE18$LH195 X 3IIH6,Medium,Hybrid HIPS,1,Hybrid,Full,17.6,15.9,4.4,2.6,21.1,21.1,27.8,4.9,164.6,yellow,N
