Person,QR Code,Ear #,Kernel Color,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Kernel Count,Cob Width,Cob Length,Cob Weight,100 Kernel weight,Total Moisture
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot180$Row4$Range13$2369 x PHZ51,1,yellow,4,13.5,16,25,113.7,362,2.5,14,17.4,26.1,4.08
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot180$Row4$Range13$2369 x PHZ51,2,yellow,4.5,14,16,29,154.2,448,3,15,22.6,27.2,
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot180$Row4$Range13$2369 x PHZ51,3,yellow,3,17,14,36,153.2,426,3,18.5,28,30,
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot180$Row4$Range13$2369 x PHZ51,4,yellow,4,16,16,37,184.6,540,2.5,17.5,25.4,28.8,
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot187$Row11$Range13$PHK56 x PHJ89,1,yellow,4,14,14,32,161.3,447,2.5,15,23,30.2,4.21
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot187$Row11$Range13$PHK56 x PHJ89,2,yellow,4,14,16,32,165.9,476,3,16.5,23.5,29.2,
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot187$Row11$Range13$PHK56 x PHJ89,3,yellow,4.5,15.5,16,34,162.8,471,2.5,15.5,24.8,28,
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot187$Row11$Range13$PHK56 x PHJ89,4,yellow,4.5,14,14,31,162.5,426,3,15.5,24.7,32,
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot206$Row14$Range14$B37 x OH43,1,yellow,4.5,14,18,33,137.8,443,2.5,14,22,25.3,4.5
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot206$Row14$Range14$B37 x OH43,2,yellow,4,12.5,17,33,115.5,357,3,13,18.5,27.4,
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot206$Row14$Range14$B37 x OH43,3,yellow,4.5,15,16,30,151.2,442,3,15,23.7,28.2,
IS,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot206$Row14$Range14$B37 x OH43,4,yellow,4,17,16,39,172.9,524,2.5,17,27.2,28.1,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot145$Row1$Range10$PHB47 x PHK56,1,yellow,4.5,12.5,16,29,157.8,434,3,14.5,18.9,33.3,4.77
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot145$Row1$Range10$PHB47 x PHK56,2,yellow,4.5,14.5,16,34,203,539,3,17.5,22.5,32.5,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot145$Row1$Range10$PHB47 x PHK56,3,yellow,4.5,18.5,16,42,263.5,675,3,20,29.5,32.9,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot145$Row1$Range10$PHB47 x PHK56,4,yellow,4.5,17,16,38,210.3,583,2.5,19.5,26.5,29.9,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot163$Row3$Range10$PHP02 x PHG47,1,yellow,4,14.5,18,28,142,531,3,17.5,17.1,23.2,4.4
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot163$Row3$Range10$PHP02 x PHG47,2,yellow,4,14.5,18,34,145.1,577,2.5,16.5,15.7,23.2,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot163$Row3$Range10$PHP02 x PHG47,3,yellow,4,14,18,31,119.1,472,3,15,13.6,22.6,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot163$Row3$Range10$PHP02 x PHG47,4,yellow,4,13.5,18,29,118.5,469,2.5,15,13.4,21.1,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot151$Row7$Range10$LH195 x LH123HT,1,yellow,4,15,15,33,147.7,442,3,15.5,19.3,26.6,3.94
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot151$Row7$Range10$LH195 x LH123HT,2,yellow,4.5,15,16,35,166.1,525,3,17,21.4,27.1,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot151$Row7$Range10$LH195 x LH123HT,3,yellow,4.5,17.5,16,38,195.2,580,2.5,18,23.5,28.6,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot151$Row7$Range10$LH195 x LH123HT,4,yellow,4.5,19,16,43,214.7,626,3,20,29,28.9,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot182$Row6$Range13$PHB47 x PHK56,1,yellow,4,16,16,36,153.58,501,2.5,16,19.01,27.62,4.35
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot182$Row6$Range13$PHB47 x PHK56,2,yellow,4,14,14,32,155.38,451,2.5,16,20.64,30.37,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot182$Row6$Range13$PHB47 x PHK56,3,yellow,4,14.5,12,35,157.72,417,2.5,16.5,21.71,33.64,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot182$Row6$Range13$PHB47 x PHK56,4,yellow,4,15.5,14,39,146.63,488,2.5,16.5,19.06,26.51,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot186$Row10$Range13$LH185 x LH82,1,yellow,4.5,18.5,18,41,252.05,700,3,19.5,25.42,33.38,3.98
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot186$Row10$Range13$LH185 x LH82,2,yellow,4,18.5,14,43,179.95,561,2.5,19.5,18.81,30.13,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot186$Row10$Range13$LH185 x LH82,3,yellow,4.5,17,16,38,182.79,570,2.5,17.5,21.84,28.23,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot186$Row10$Range13$LH185 x LH82,4,yellow,4,15.5,16,37,164.79,475,2.5,17,16.15,31.42,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot177$Row1$Range13$Pioneer P0589 AMXT,1,yellow,4.5,15,18,37,205.34,556,2.5,18,24.66,32.43,4.11
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot177$Row1$Range13$Pioneer P0589 AMXT,2,yellow,4.5,16,16,37,219.83,577,2.5,19,27.46,34.76,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot177$Row1$Range13$Pioneer P0589 AMXT,3,yellow,4,14,14,32,162.42,408,2.5,17,22.4,33.91,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep1$Plot177$Row1$Range13$Pioneer P0589 AMXT,4,yellow,4,11.5,16,26,115.43,299,2.5,15,17.63,32.65,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot188$Row12$Range13$PHK76 x LH145,1,orange,3.5,15,14,35,120.23,430,2.5,15.5,18.35,23.82,3.77
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot188$Row12$Range13$PHK76 x LH145,2,orange,4,16,14,36,173.41,465,3,17,24.41,32.4,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot188$Row12$Range13$PHK76 x LH145,3,orange,4,16,12,35,145.82,385,2.5,17.5,20.54,32.63,
AI,North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot188$Row12$Range13$PHK76 x LH145,4,orange,4,16,14,35,147.72,509,3,17,23.05,24.89,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot150$Row6$Range10$B73 x PHN82,1,yellow,4.5,13.5,16,33,183.49,507,3,15.5,26.31,31.63,4.56
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot150$Row6$Range10$B73 x PHN82,2,yellow,5,16.5,18,44,236.76,687,3,17,32.52,30.42,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot150$Row6$Range10$B73 x PHN82,3,yellow,4.5,14,18,36,166.04,506,3,16,24.13,29.63,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot150$Row6$Range10$B73 x PHN82,4,yellow,4.5,15,16,40,205.61,540,3,17.5,30.1,34.65,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot154$Row10$Range10$LH195 x LH185,1,yellow,4,17,14,40,170.79,440,2.5,18,21.16,34.95,4.25
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot154$Row10$Range10$LH195 x LH185,2,yellow,4.5,13.5,18,28,152.1,472,2.5,14.5,15.88,29.71,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot154$Row10$Range10$LH195 x LH185,3,yellow,4.5,15.5,14,36,167.74,423,2.5,16.5,18.82,36.57,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot154$Row10$Range10$LH195 x LH185,4,yellow,4,12.5,16,30,123.49,357,2.5,13.5,12.26,32.31,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot155$Row11$Range10$Syngenta NK0760-3111,1,yellow,4,15,16,35,157.49,573,2.5,17.5,17.33,26.16,4.24
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot155$Row11$Range10$Syngenta NK0760-3111,2,yellow,4.5,16,16,39,192.96,653,2.5,17,19.56,26.79,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot155$Row11$Range10$Syngenta NK0760-3111,3,yellow,4,15,16,34,153.54,501,2.5,16.5,17.94,27.18,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot155$Row11$Range10$Syngenta NK0760-3111,4,yellow,4.5,18.5,16,40,218.63,582,2.5,19,27.29,34.62,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot152$Row8$Range10$PHP02 x PHN46,1,yellow,4,13.5,16,29,125.16,404,3,16,17.72,28.22,4.78
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot152$Row8$Range10$PHP02 x PHN46,2,yellow,4.5,14,16,27,134.92,335,3,15.5,21.48,34.34,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot152$Row8$Range10$PHP02 x PHN46,3,yellow,4.5,16.5,16,33,154.72,388,3,19.5,22.74,34.64,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot152$Row8$Range10$PHP02 x PHN46,4,yellow,5,14,20,32,173.34,475,3,15,23.77,33.22,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot160$Row16$Range10$Syngenta NK0760-3111,1,yellow,4.5,15.5,16,38,131.81,369,2.5,17,20.97,30.63,4.07
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot160$Row16$Range10$Syngenta NK0760-3111,2,yellow,4.5,16.5,14,34,180.26,466,2.5,17.5,21.76,34.95,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot160$Row16$Range10$Syngenta NK0760-3111,3,yellow,4.5,17,14,43,176.23,490,2.5,18,22.19,31.04,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot160$Row16$Range10$Syngenta NK0760-3111,4,yellow,4.5,17,16,41,192.85,520,2.5,18.5,23.18,34.64,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot149$Row5$Range10$PHK56 x W606S,1,orange,4.5,15,18,32,157.64,469,3,16.5,22.86,29.15,3.99
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot149$Row5$Range10$PHK56 x W606S,2,orange,4.5,16.5,16,38,181.3,503,3,17,23.65,31.88,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot149$Row5$Range10$PHK56 x W606S,3,orange,4,13.5,16,29,135.09,404,3,16,17.61,29.25,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot149$Row5$Range10$PHK56 x W606S,4,orange,4,15.5,16,34,164.02,464,3,17,21.98,30.78,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot157$Row13$Range10$PHK56 x W606S,1,yellow,4,16,14,38,193.1,543,2.5,17.5,22.9,31.1,4.39
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot157$Row13$Range10$PHK56 x W606S,2,yellow,4.5,13,16,24,145.5,389,2.5,16,20.3,30.2,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot157$Row13$Range10$PHK56 x W606S,3,yellow,4.5,12.5,18,29,147.1,422,2.5,15,19.1,31.6,
IS,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot157$Row13$Range10$PHK56 x W606S,4,yellow,4.5,13,16,29,162.5,435,2.5,16.5,20.8,32.5,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot158$Row14$Range10$LH198 x PHB47,1,yellow,4.5,16,14,38,174.87,487,2.5,16,27.28,31.9,4.06
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot158$Row14$Range10$LH198 x PHB47,2,yellow,4,14,14,32,136.64,408,2.5,14.5,19.17,28.86,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot158$Row14$Range10$LH198 x PHB47,3,yellow,4,15,16,33,149.91,480,3,16,22.93,26.79,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot158$Row14$Range10$LH198 x PHB47,4,yellow,4,14.5,14,30,131.44,388,2.5,15,18.62,29.29,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot153$Row9$Range10$PHK56 x PHJ89,1,yellow,4,14,16,32,172.85,509,3,17,25.68,30.95,4.51
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot153$Row9$Range10$PHK56 x PHJ89,2,yellow,4.5,15,18,34,174.19,530,3,16,26.57,30.15,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot153$Row9$Range10$PHK56 x PHJ89,3,yellow,4,15.5,16,32,142.95,423,2.5,16,22.81,28.16,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot153$Row9$Range10$PHK56 x PHJ89,4,yellow,4,13.5,16,32,140.52,424,2.5,16,21.4,29.25,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot159$Row15$Range10$LH74 x PHM49,1,yellow,4,15.5,14,35,165.33,422,2.5,16.5,19.43,34.83,4.14
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot159$Row15$Range10$LH74 x PHM49,2,yellow,4.5,15.5,16,36,198.48,537,2.5,17.5,23.21,33.26,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot159$Row15$Range10$LH74 x PHM49,3,yellow,4,15,14,34,177.83,468,2.5,16.5,21.29,33.66,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot159$Row15$Range10$LH74 x PHM49,4,yellow,4,10.5,14,26,110.42,283,2.5,13.5,14.31,34.09,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot146$Row2$Range10$Pioneer 1311 AMXT,1,yellow,4.5,13,18,26,160.65,455,2.5,16.5,18.59,31.6,3.99
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot146$Row2$Range10$Pioneer 1311 AMXT,2,yellow,4.5,12,20,24,131.41,363,2.5,15.5,21.67,32.03,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot146$Row2$Range10$Pioneer 1311 AMXT,3,yellow,4.5,13.5,18,28,158.52,412,3,15,24.52,33.59,
AI,North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep1$Plot146$Row2$Range10$Pioneer 1311 AMXT,4,yellow,4,14,18,26,120.3,313,3,16.5,24.95,29.49,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot571$Row11$Range3$PHK76 x LH145,1,yellow,3,14.5,14,34,103.76,460,2,17,19.19,17.54,4.36
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot571$Row11$Range3$PHK76 x LH145,2,yellow,3,15,14,36,110.52,463,2.5,17,21.26,19.64,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot571$Row11$Range3$PHK76 x LH145,3,yellow,3,14.5,16,33,113.73,469,2,17,19.39,19.84,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot571$Row11$Range3$PHK76 x LH145,4,yellow,3.5,15,12,35,128.09,421,2.5,16.5,20.46,26.69,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot564$Row4$Range3$LH82 x PHJ89,1,yellow,3.5,16.5,18,37,152.02,755,2.5,18.5,21.93,18.35,4.3
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot564$Row4$Range3$LH82 x PHJ89,2,yellow,3.5,14,16,31,115.68,498,2.5,16.5,15.29,20.08,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot564$Row4$Range3$LH82 x PHJ89,3,yellow,3.5,15.5,16,38,124.16,602,2.5,17.5,16.73,17.03,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot564$Row4$Range3$LH82 x PHJ89,4,yellow,3.5,13.5,18,31,105.5,525,2.5,16.5,13.43,18,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot576$Row16$Range3$PHK56 x LH198,1,Yellow,4,12,16,30,162.7,461,3,14,20.3,31.7,4.44
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot576$Row16$Range3$PHK56 x LH198,2,Yellow,4,12.5,16,31,114.6,425,2.5,13.5,15.7,23.2,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot576$Row16$Range3$PHK56 x LH198,3,Yellow,4,14,14,33,134.7,414,2,16,16.5,29,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot576$Row16$Range3$PHK56 x LH198,4,Yellow,4,14,16,37,200,538,2.5,15.5,26.4,32.2,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot562$Row2$Range3$B84 x 3IIH6,1,Yellow,4,12,16,24,96.4,270,3,14.5,15.8,29.5,4.41
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot562$Row2$Range3$B84 x 3IIH6,2,Yellow,4.5,13.5,18,25,123,369,3,16,18.2,29.1,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot562$Row2$Range3$B84 x 3IIH6,3,Yellow,4,13.5,14,26,130.7,367,2.5,15.5,19,30.6,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot562$Row2$Range3$B84 x 3IIH6,4,Yellow,4,11.5,19,22,107.2,341,3,13,15.8,29.1,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot573$Row13$Range3$B73 x Mo17,1,Yellow,4,16.5,16,38,168.09,510,2.5,18,21.37,28.17,4.35
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot573$Row13$Range3$B73 x Mo17,2,Yellow,4,16,16,35,143.47,487,2.5,16,17.02,26.06,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot573$Row13$Range3$B73 x Mo17,3,Yellow,4,14.5,16,30,135.99,447,2.5,15.5,16.75,27.02,
ND,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot573$Row13$Range3$B73 x Mo17,4,Yellow,4,14.5,14,32,117.59,406,2,16,14.89,25.21,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot570$Row10$Range3$2369 x 3IIH6,1,Yellow,4,14,18,35,118.9,476,2.5,15,11.6,22.6,4.9
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot570$Row10$Range3$2369 x 3IIH6,2,Yellow,4,15,15,38,147.3,555,2.5,16.5,15.6,23.5,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot570$Row10$Range3$2369 x 3IIH6,3,Yellow,4,12.5,18,29,102.2,477,2.5,14.5,9.7,19.4,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot570$Row10$Range3$2369 x 3IIH6,4,Yellow,4,14,20,34,146.1,476,2.5,17,15.7,23.4,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot568$Row8$Range3$B105 x 3IIH6,1,Yellow,4,17.5,16,42,159.2,609,3,20,20.6,22.5,5.21
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot568$Row8$Range3$B105 x 3IIH6,2,Yellow,4,14,16,34,107.3,450,2.5,18,13.2,20.9,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot568$Row8$Range3$B105 x 3IIH6,3,Yellow,4,14.5,18,34,121.5,509,2.5,16.5,14.9,20.5,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep1$Plot568$Row8$Range3$B105 x 3IIH6,4,Yellow,4,13,18,30,113.2,450,3,18,15.1,21.6,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot572$Row12$Range3$LH198 x PHZ51,1,Yellow,3.5,12.5,14,25,105,322,2,14,16.8,27.7,3.74
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot572$Row12$Range3$LH198 x PHZ51,2,Yellow,3.5,15.5,14,36,153.4,454,2.5,16,21.8,28.5,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot572$Row12$Range3$LH198 x PHZ51,3,Yellow,3.5,13,14,33,119.6,402,2,14.5,16.7,25.9,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot572$Row12$Range3$LH198 x PHZ51,4,Yellow,3,14,14,34,108.9,376,2,14.5,15.3,23.8,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot575$Row15$Range3$PHG39 x PHM49,1,Yellow,3,7.5,14,21,64.4,171,1.5,9,9.5,31.9,4.19
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot575$Row15$Range3$PHG39 x PHM49,2,Yellow,4,12.5,16,28,145.7,447,2,14.5,15.6,28.8,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot575$Row15$Range3$PHG39 x PHM49,3,Yellow,3.5,12.5,16,27,112.3,330,2,12,13.9,30.3,
LL,North Platte$HIPS - Partial Irrigation - Low Nitrogen$Rep2$Plot575$Row15$Range3$PHG39 x PHM49,4,Yellow,4,12.5,14,29,149.4,392,2,17,18.8,32.9,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1060$Row4$Range1$PHK76 x LH198,1,Yellow,3.5,11,13,28,80.2,353,2.5,13,11.9,19.4,6.6
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1060$Row4$Range1$PHK76 x LH198,2,Yellow,3.5,13,14,28,100.1,404,2.5,15.5,16.7,20.7,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1060$Row4$Range1$PHK76 x LH198,3,Yellow,3,12.5,12,31,86.9,351,2,14,13.7,20.4,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1060$Row4$Range1$PHK76 x LH198,4,Yellow,3.5,13,14,32,109.5,412,2,14.5,17.2,22.1,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1062$Row6$Range1$Hoegemeyer 7089 AMXT,1,Yellow,3.5,11,16,28,102.7,330,2,15.5,13.3,27.3,7.3
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1062$Row6$Range1$Hoegemeyer 7089 AMXT,2,Yellow,3.5,11,14,26,98.4,380,2.5,15,15.5,22,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1062$Row6$Range1$Hoegemeyer 7089 AMXT,3,Yellow,4,10.5,16,26,109.4,388,2.5,16,15.8,23.5,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1062$Row6$Range1$Hoegemeyer 7089 AMXT,4,Yellow,3.5,13,16,30,116.1,503,2,18,16.5,20.2,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1057$Row1$Range1$LH145 x LH162,1,Yellow,2.5,10.5,16,26,73.2,340,2,14,12.7,17.4,9.2
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1057$Row1$Range1$LH145 x LH162,2,Yellow,2.5,10,12,26,71.1,300,1.5,13,10.9,20,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1057$Row1$Range1$LH145 x LH162,3,Yellow,3,15.5,12,38,100.9,444,2,18.5,17.3,18.7,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1057$Row1$Range1$LH145 x LH162,4,Yellow,2.5,10.5,12,26,78.2,265,2,13,9.6,19.8,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep2$Plot1073$Row19$Range1$PHJ40 x LH82,1,Yellow /Orange,3.5,11.5,18,26,89.63,427,2.5,15.5,15.29,18.02,6.9
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep2$Plot1073$Row19$Range1$PHJ40 x LH82,2,Yellow / Orange,3.5,11.5,16,34,98.7,435,2.5,16,17.23,20.39,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep2$Plot1073$Row19$Range1$PHJ40 x LH82,3,Yellow /Orange,3,12,16,22,82.71,373,2,15.5,13.91,19.13,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep2$Plot1073$Row19$Range1$PHJ40 x LH82,4,Yellow / Orange,3,12,17,28,89.47,393,2,15,14.85,17.84,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep2$Plot1067$Row11$Range1$PHK56 x W606S,1,Yellow,3,14,18,29,110.9,502,2,16,17.66,19.62,7.1
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep2$Plot1067$Row11$Range1$PHK56 x W606S,2,Yellow,3,14.5,14,33,110.31,491,2,16.5,17.57,19.88,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep2$Plot1067$Row11$Range1$PHK56 x W606S,3,Yellow,3.5,15,18,35,136.12,598,2.5,16,20.31,21.24,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep2$Plot1067$Row11$Range1$PHK56 x W606S,4,Yellow,3,13.5,14,34,93.19,454,2,15,14.59,17.98,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1059$Row3$Range1$PHN46 x PHK56,1,Yellow,4,12.5,14,32,131.39,479,2,14.5,15.16,22.62,6.8
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1059$Row3$Range1$PHN46 x PHK56,2,Yellow,3.5,11,14,33,109.02,445,2,12.5,13.93,20.62,
LL,North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1059$Row3$Range1$PHN46 x PHK56,3,Yellow,3.5,9.5,18,26,107.95,496,2.5,12.5,14.8,20.03,
