Person,QR Code,Ear #,Kernel Color,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Kernel Count,Cob Width,Cob Length,Cob Weight,100 Kernel weight,Total Moisture
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot380$Row12$Range26$PHK56 x PHJ89,4,Yellow,3.5,13,16,29,101.26,280,2,13.5,16.58,30.32,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot374$Row6$Range26$LH185 x W606S,1,Red,4,21,14,40,232.59,520,2.5,22,31.62,38.14,4.66
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot374$Row6$Range26$LH185 x W606S,2,Red,4,17.5,14,33,126.53,378,2.5,18,22.05,29.36,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot374$Row6$Range26$LH185 x W606S,3,Red,4,17.5,12,35,157.7,390,2.5,17.5,18.43,34.82,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot374$Row6$Range26$LH185 x W606S,4,Red,3.5,17,14,31,127.36,383,2.5,17,20.56,29.39,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot384$Row16$Range26$PHK76 x LH82,1,Orange,4,15,16,36,182.62,540,2.5,17,22.12,29.14,4.17
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot384$Row16$Range26$PHK76 x LH82,2,Orange,3.5,17.5,16,34,144.62,435,2.5,17.5,20.26,29.69,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot384$Row16$Range26$PHK76 x LH82,3,Orange,4,14.5,16,36,147.38,502,2.5,16,20.49,25.98,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot384$Row16$Range26$PHK76 x LH82,4,Orange,4,15,14,36,166.96,460,2.5,15.5,20.72,32.41,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot369$Row1$Range26$LH195 x LH185,1,Yellow,4.5,16,16,35,189.35,540,2.5,16.5,19.97,31.38,4.28
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot369$Row1$Range26$LH195 x LH185,2,Yellow,4,16,14,34,146.21,441,2.5,16,17.52,29.02,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot369$Row1$Range26$LH195 x LH185,3,Yellow,4.5,17.5,14,39,217.68,507,2.5,17.5,25.31,39.08,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot369$Row1$Range26$LH195 x LH185,4,Yellow,4.5,15,16,35,176.9,482,2.5,16,19.31,32.2,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot378$Row10$Range26$PHT69 x 3IIH6,1,Yellow,4,17.5,16,33,186.18,502,2.5,18.5,22.71,33,4.32
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot378$Row10$Range26$PHT69 x 3IIH6,2,Yellow,4,18,16,39,189.74,563,2.5,18.5,19.23,29.27,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot378$Row10$Range26$PHT69 x 3IIH6,3,Yellow,3.5,14,16,29,95.75,332,2,15.5,10.28,25.32,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot378$Row10$Range26$PHT69 x 3IIH6,4,Yellow,4,17.5,16,32,169.58,490,2.5,18,18.09,31.09,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot370$Row2$Range26$PHK76 x W606S,1,Red,3.5,14.5,14,28,129.49,350,2.5,16,19.07,31.39,4.48
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot370$Row2$Range26$PHK76 x W606S,2,Red,4,14.5,16,31,149.93,382,3,17,24.04,32.64,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot370$Row2$Range26$PHK76 x W606S,3,Red,4,17,14,34,171.28,452,2.5,18.5,23.82,30.73,
